c0,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,mpi_ranks,FLOPS,elapsed_sec,identifier,threads_per_node,ranks_per_node,gpu_enabled,libE_id,libE_workers
fftw,float,512,-reorder,-a2av,-p2p,-pencils,-r2c_dir 0,0.4431765527844457,0.903018630879212,0.6645916412686997,1024,-217.313,53.08037233352661,theta-knl,64,64,False,0,1
fftw,float,512,-no-reorder, , ,-pencils,-r2c_dir 1,0.0082445502522313,0.5156827553589598,0.5581624564804387,1024,-429.022,61.65855550765991,theta-knl,64,64,False,0,1
fftw,double,512,-no-reorder,-a2av,-p2p_pl,-slabs,-r2c_dir 2,0.8512034559116024,0.7126391404251164,0.1095291148160448,1024,-106.945,77.44353652000427,theta-knl,64,64,False,0,1
fftw,float,512,-reorder,-a2a,-p2p,-pencils,-r2c_dir 0,0.7042238148802102,0.6520444680022498,0.9339134786084288,1024,-239.137,86.33707928657532,theta-knl,64,64,False,0,1
fftw,float,512,-no-reorder,-a2a, ,-pencils,-r2c_dir 0,0.1152543899340284,0.2660136913633746,0.404958626667385,1024,-32.114,103.67940783500671,theta-knl,64,64,False,0,1
fftw,double,512,-reorder,-a2a, ,-slabs,-r2c_dir 1,0.3497881044938829,0.1893082779761565,0.0563232117414323,1024,-81.767,114.21846222877502,theta-knl,64,64,False,0,1
fftw,float,512,-reorder, ,-p2p,-slabs,-r2c_dir 0,0.2304244190751457,0.0090993403255857,0.8785213324356352,1024,1.0,121.69877171516418,theta-knl,64,64,False,0,1
fftw,double,512,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 1,0.9208349944805646,0.2769237897389828,0.3329604227410734,1024,-130.4,132.03294324874878,theta-knl,64,64,False,0,1
fftw,double,512,-no-reorder,-a2a,-p2p,-slabs,-r2c_dir 2,0.9440300782175364,0.8495464777519586,0.5063547499619286,1024,-76.9105,144.08492422103882,theta-knl,64,64,False,0,1
fftw,float,512,-reorder, , ,-pencils,-r2c_dir 0,0.7675504790211404,0.4467634761318066,0.397011408915577,1024,-644.082,152.4184215068817,theta-knl,64,64,False,0,1
fftw,double,512,-reorder,-a2a,-p2p,-slabs,-r2c_dir 0,0.142364767689959,0.5889513439642188,0.2127978356200857,1024,-80.5211,164.18698000907898,theta-knl,64,64,False,0,1
fftw,double,512,-reorder,-a2av, ,-pencils,-r2c_dir 0,0.5165126417854197,0.9414949802936912,0.8212940605397688,1024,-214.829,174.33019971847534,theta-knl,64,64,False,0,1
fftw,float,512,-reorder, ,-p2p_pl,-pencils,-r2c_dir 2,0.578229940007258,0.7576196437861129,0.75102341679286,1024,-464.147,183.11527943611145,theta-knl,64,64,False,0,1
fftw,double,512,-no-reorder, ,-p2p_pl,-pencils,-r2c_dir 1,0.2827331856120507,0.3523846965525666,0.7179001305067431,1024,-162.532,193.1255524158477,theta-knl,64,64,False,0,1
fftw,float,512,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 2,0.6435532973436361,0.1143191593265327,0.1591903618802829,1024,-431.202,201.68164563179016,theta-knl,64,64,False,0,1
fftw,float,512,-no-reorder, ,-p2p_pl,-pencils,-r2c_dir 1,0.2553162797733406,0.5499947891631022,0.0460853944224725,1024,-456.375,331.9834017753601,theta-knl,64,64,False,0,1
fftw,float,512,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 0,0.9652429957125584,0.3861978451771206,0.5195682531848429,1024,-568.259,424.4635405540466,theta-knl,64,64,False,0,1
fftw,float,512,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 1,0.9693162533668632,0.8101793535907686,0.5930695269968296,1024,-542.765,527.133663892746,theta-knl,64,64,False,0,1
fftw,float,512,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 1,0.8489392590848659,0.8304537643444774,0.0503434761181154,1024,-453.536,630.0579566955566,theta-knl,64,64,False,0,1
fftw,float,512,-reorder,-a2av, ,-pencils,-r2c_dir 1,0.7733593607202287,0.9342171691381508,0.6187239450409341,1024,-500.684,737.6492409706116,theta-knl,64,64,False,0,1
fftw,double,512,-reorder, ,-p2p_pl,-pencils,-r2c_dir 1,0.8621157265308781,0.8298157359442648,0.1842181618378119,1024,-243.529,911.0861179828644,theta-knl,64,64,False,0,1
fftw,float,512,-reorder, , ,-pencils,-r2c_dir 0,0.9911707896378142,0.7763357405524092,0.0929742829898336,1024,-709.427,1037.9655015468595,theta-knl,64,64,False,0,1
fftw,float,512,-no-reorder, , ,-pencils,-r2c_dir 0,0.8067844273998368,0.6630935435645903,0.5523928623203436,1024,-714.284,1155.2687752246857,theta-knl,64,64,False,0,1
fftw,float,512,-reorder,-a2a, ,-pencils,-r2c_dir 2,0.8044408258718839,0.9135771612104014,0.0653691618949878,1024,-107.043,1282.9954450130465,theta-knl,64,64,False,0,1
fftw,float,512,-no-reorder, ,-p2p,-pencils,-r2c_dir 2,0.9635756854772526,0.5519061819786765,0.2283926790929696,1024,-387.304,1407.1549339294434,theta-knl,64,64,False,0,1
fftw,float,512,-reorder, , ,-pencils,-r2c_dir 0,0.7315630406452533,0.604688516691057,0.4030836397607278,1024,-666.762,1522.3853549957275,theta-knl,64,64,False,0,1
fftw,float,512,-no-reorder, ,-p2p_pl,-pencils,-r2c_dir 1,0.8945078915133003,0.3702362779618133,0.8799975609538243,1024,-500.359,1625.3789103031158,theta-knl,64,64,False,0,1
fftw,float,512,-reorder, , ,-pencils,-r2c_dir 1,0.9704485491246578,0.3428108967548395,0.0139623004247692,1024,-546.632,1747.5088212490082,theta-knl,64,64,False,0,1
fftw,float,512,-reorder, ,-p2p_pl,-pencils,-r2c_dir 0,0.9779224256786536,0.5491491998246297,0.447082245326115,1024,-571.145,1860.78358912468,theta-knl,64,64,False,0,1
fftw,float,512,-reorder, , ,-pencils,-r2c_dir 0,0.9496040949062904,0.722247768744231,0.4239699703073572,1024,-718.407,1972.4598424434664,theta-knl,64,64,False,0,1
