p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p7_float,p8_float,p9_float,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,libE_id,libE_workers
float,128,-no-reorder,-a2av, , ,-r2c_dir 1,8 8 16,64 16 1,2,0.49230769230769234,0.15384615384615385,0.0,fftw,-38.6087,29.55984306335449,theta-knl,1024,256,64,False,2,4
float,128,-reorder,-a2av, , , ,8 8 16,32 32 1,4,0.49230769230769234,0.23076923076923078,1.0,fftw,-108.324,29.56842541694641,theta-knl,1024,256,64,False,3,4
double,128,-no-reorder,-a2av,-p2p, , ,8 8 16,64 8 2,2,0.49230769230769234,0.16923076923076924,0.0,fftw,-48.9215,30.111900091171265,theta-knl,1024,256,64,False,4,4
float,128, ,-a2av, ,-pencils,-r2c_dir 1,8 8 16,32 32 1,2,0.49230769230769234,0.23076923076923078,0.0,fftw,-68.0727,29.51088786125183,theta-knl,1024,256,64,False,5,4
float,128, ,-a2av, ,-pencils, ,8 8 16,64 8 2,4,0.49230769230769234,0.16923076923076924,1.0,fftw,-87.5789,41.17933535575867,theta-knl,1024,256,64,False,2,4
float,128,-no-reorder,-a2av, , , ,8 8 16,64 8 2,2,0.49230769230769234,0.16923076923076924,0.0,fftw,-87.433,47.24173641204834,theta-knl,1024,256,64,False,3,4
float,128,-no-reorder,-a2av, ,-pencils, ,8 8 16,64 8 2,2,0.49230769230769234,0.16923076923076924,0.0,fftw,-88.8836,47.39335036277771,theta-knl,1024,256,64,False,4,4
float,128, ,-a2av, , , ,8 8 16,64 4 4,2,0.49230769230769234,0.18461538461538463,0.0,fftw,-62.6014,47.393789768218994,theta-knl,1024,256,64,False,5,4
float,128, ,-a2av, , ,-r2c_dir 0,8 8 16,64 4 4,2,0.49230769230769234,0.18461538461538463,0.0,fftw,-83.3279,52.764535665512085,theta-knl,1024,256,64,False,2,4
float,128, ,-a2av, , ,-r2c_dir 0,8 8 16,32 32 1,4,0.49230769230769234,0.23076923076923078,1.0,fftw,-110.471,58.48064732551575,theta-knl,1024,256,64,False,3,4
float,128,-no-reorder,-a2av,-p2p, , ,8 8 16,32 32 1,2,0.49230769230769234,0.23076923076923078,0.0,fftw,-45.1295,63.11345791816712,theta-knl,1024,256,64,False,2,4
float,128,-no-reorder,-a2av, ,-pencils, ,8 8 16,64 8 2,4,0.49230769230769234,0.16923076923076924,1.0,fftw,-43.2852,63.66521143913269,theta-knl,1024,256,64,False,4,4
float,128, ,-a2av, , , ,8 8 16,32 32 1,4,0.49230769230769234,0.23076923076923078,1.0,fftw,-45.111,66.27034664154053,theta-knl,1024,256,64,False,5,4
float,128,-reorder,-a2av, , ,-r2c_dir 1,8 8 16,32 32 1,4,0.49230769230769234,0.23076923076923078,1.0,fftw,-31.5764,69.6192479133606,theta-knl,1024,256,64,False,3,4
float,128,-reorder,-a2av, ,-pencils,-r2c_dir 0,8 8 16,32 32 1,2,0.49230769230769234,0.23076923076923078,0.0,fftw,-53.556,74.37363719940186,theta-knl,1024,256,64,False,2,4
float,128,-reorder,-a2av, ,-pencils, ,16 8 8,32 32 1,4,0.36923076923076925,0.23076923076923078,1.0,fftw,-88.3945,79.16358757019043,theta-knl,1024,256,64,False,3,4
float,128, ,-a2av, ,-pencils,-r2c_dir 0,8 8 16,32 32 1,2,0.49230769230769234,0.23076923076923078,0.0,fftw,-109.086,79.01315903663635,theta-knl,1024,256,64,False,4,4
float,128,-reorder,-a2av, , , ,16 8 8,32 32 1,2,0.36923076923076925,0.23076923076923078,0.0,fftw,-88.6941,82.16586899757385,theta-knl,1024,256,64,False,5,4
float,128,-reorder,-a2av, , ,-r2c_dir 0,8 8 16,32 32 1,2,0.49230769230769234,0.23076923076923078,0.0,fftw,-94.955,85.47747802734375,theta-knl,1024,256,64,False,2,4
float,128, ,-a2av, , ,-r2c_dir 2,8 8 16,32 32 1,4,0.49230769230769234,0.23076923076923078,1.0,fftw,-16.845,90.97866129875185,theta-knl,1024,256,64,False,3,4
float,128,-no-reorder,-a2av, ,-pencils,-r2c_dir 1,8 8 16,64 8 2,4,0.49230769230769234,0.16923076923076924,1.0,fftw,-102.49,95.57656717300416,theta-knl,1024,256,64,False,2,4
float,128,-no-reorder,-a2av, ,-pencils,-r2c_dir 1,8 8 16,64 16 1,4,0.49230769230769234,0.15384615384615385,1.0,fftw,-48.8977,95.02767705917358,theta-knl,1024,256,64,False,4,4
float,128,-no-reorder,-a2av, , ,-r2c_dir 1,16 8 8,32 16 2,4,0.36923076923076925,0.24615384615384617,1.0,fftw,-36.0205,99.09701800346376,theta-knl,1024,256,64,False,5,4
float,128,-no-reorder,-a2av, , ,-r2c_dir 1,8 8 16,64 8 2,4,0.49230769230769234,0.16923076923076924,1.0,fftw,-35.7858,102.71405506134032,theta-knl,1024,256,64,False,3,4
float,128, , , ,-pencils,-r2c_dir 0,8 8 16,32 32 1,2,0.49230769230769234,0.23076923076923078,0.0,fftw,-80.0206,106.01451468467712,theta-knl,1024,256,64,False,2,4
float,128, ,-a2av, ,-slabs, ,8 8 16,32 32 1,2,0.49230769230769234,0.23076923076923078,0.0,fftw,-26.0676,108.51595687866212,theta-knl,1024,256,64,False,4,4
float,128, ,-a2av, ,-pencils,-r2c_dir 0,16 8 8,32 32 1,4,0.36923076923076925,0.23076923076923078,1.0,fftw,-32.5592,112.70367312431335,theta-knl,1024,256,64,False,3,4
