p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,ranks_per_node,gpu_enabled,libE_id,libE_workers
double,1024,-reorder, , ,-pencils,-r2c_dir 2,0.9006099496987634,0.5376232946387467,8,cufft,2.143,905.5822310447692,polaris-gpu,16,4,True,5,4
float,1024,-reorder, , ,-pencils,-r2c_dir 0,0.8740443098009515,0.453513117888895,16,cufft,1.0,908.1638586521148,polaris-gpu,16,4,True,4,4
float,1024,-reorder, ,-p2p_pl,-pencils,-r2c_dir 0,0.8722725330763627,0.2781475488484385,12,cufft,2.143,910.8283755779266,polaris-gpu,16,4,True,3,4
float,1024,-no-reorder, ,-p2p,-slabs,-r2c_dir 0,0.4998647169018237,0.9731214019940316,8,cufft,2.143,915.842797279358,polaris-gpu,16,4,True,2,4
float,1024,-reorder, , ,-pencils,-r2c_dir 0,0.7277907456998606,0.4534132982075746,16,cufft,2.143,926.0538101196288,polaris-gpu,16,4,True,4,4
float,1024,-no-reorder,-a2av,-p2p,-pencils,-r2c_dir 0,0.8743091408862917,0.3408559796055086,2,cufft,2.143,934.6132645606996,polaris-gpu,16,4,True,5,4
float,1024,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 2,0.6777481126251019,0.95699681188611,2,cufft,2.143,940.5884532928468,polaris-gpu,16,4,True,3,4
float,1024,-no-reorder, ,-p2p_pl,-slabs,-r2c_dir 0,0.6070135881716465,0.661797789954438,8,cufft,2.143,942.1802654266356,polaris-gpu,16,4,True,2,4
float,1024,-no-reorder, , ,-pencils,-r2c_dir 0,0.2426969024547428,0.4972435213505169,16,cufft,2.143,944.964393377304,polaris-gpu,16,4,True,4,4
double,1024,-reorder,-a2av,-p2p,-pencils,-r2c_dir 2,0.7001111376493938,0.930815509743546,16,cufft,2.143,962.442316532135,polaris-gpu,16,4,True,3,4
double,1024,-no-reorder, ,-p2p_pl,-pencils,-r2c_dir 0,0.4987900712792776,0.6265497587453094,2,cufft,2.143,966.1345314979552,polaris-gpu,16,4,True,5,4
float,1024,-no-reorder, ,-p2p_pl,-slabs,-r2c_dir 1,0.6361613154572389,0.6395506183952036,8,cufft,2.143,967.2987422943116,polaris-gpu,16,4,True,2,4
float,1024,-no-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 1,0.8991605487098889,0.9359384821375708,12,cufft,2.143,987.6699578762054,polaris-gpu,16,4,True,2,4
float,1024,-no-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 1,0.4980453972109985,0.2967815049905544,4,cufft,2.143,987.917186498642,polaris-gpu,16,4,True,3,4
