p0,p1x,p1y,p1z,p2,p3,p4,p5,p6,p7,p8,p9,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,p7_float,p8_float,p9_float,libE_id,libE_workers
float,128,128,128,-reorder, , ,-pencils,-r2c_dir 0,256 1 1,256 1 1,4,fftw,2.137,31.964017868041992,theta-knl,256,256,64,False,0.0,0.0,1.0,2,4
float,128,128,128,-no-reorder, , ,-pencils,-r2c_dir 1,256 1 1,256 1 1,4,fftw,-43.4716,20.68486261367798,theta-knl,256,256,64,False,0.0,0.0,1.0,3,4
float,128,128,128,-no-reorder,-a2a, ,-pencils,-r2c_dir 2,256 1 1,256 1 1,2,fftw,-35.7637,20.68809747695923,theta-knl,256,256,64,False,0.0,0.0,0.0,4,4
double,128,128,128,-no-reorder,-a2av,-p2p_pl,-slabs,-r2c_dir 2,256 1 1,256 1 1,4,fftw,-6.91973,21.7903094291687,theta-knl,256,256,64,False,0.0,0.0,1.0,5,4
double,128,128,128,-reorder, ,-p2p,-pencils,-r2c_dir 0,256 1 1,256 1 1,2,fftw,2.137,39.013696908950806,theta-knl,256,256,64,False,0.0,0.0,0.0,3,4
double,128,128,128,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 2,256 1 1,256 1 1,2,fftw,-14.8003,29.684354066848755,theta-knl,256,256,64,False,0.0,0.0,0.0,4,4
float,128,128,128,-no-reorder,-a2a, ,-pencils,-r2c_dir 0,256 1 1,256 1 1,2,fftw,2.137,42.29292225837708,theta-knl,256,256,64,False,0.0,0.0,0.0,5,4
float,128,128,128,-no-reorder, , ,-slabs,-r2c_dir 0,256 1 1,256 1 1,4,fftw,2.137,48.91700601577759,theta-knl,256,256,64,False,0.0,0.0,1.0,4,4
float,128,128,128,-no-reorder, , ,-pencils,-r2c_dir 2,256 1 1,256 1 1,4,fftw,-43.8918,39.94923114776611,theta-knl,256,256,64,False,0.0,0.0,1.0,2,4
float,128,128,128,-no-reorder,-a2a, ,-pencils,-r2c_dir 0,256 1 1,256 1 1,4,fftw,2.137,46.92931294441223,theta-knl,256,256,64,False,0.0,0.0,1.0,2,4
double,128,128,128,-no-reorder, , ,-pencils,-r2c_dir 2,256 1 1,256 1 1,4,fftw,-21.7266,49.24222373962402,theta-knl,256,256,64,False,0.0,0.0,1.0,3,4
float,128,128,128,-no-reorder, ,-p2p_pl,-pencils,-r2c_dir 2,256 1 1,256 1 1,4,fftw,-21.9025,51.30556297302246,theta-knl,256,256,64,False,0.0,0.0,1.0,5,4
float,128,128,128,-reorder, , ,-pencils,-r2c_dir 2,256 1 1,256 1 1,4,fftw,-46.018,54.84876990318298,theta-knl,256,256,64,False,0.0,0.0,1.0,2,4
float,128,128,128,-no-reorder, , ,-pencils,-r2c_dir 2,256 1 1,256 1 1,2,fftw,-43.7148,56.901851177215576,theta-knl,256,256,64,False,0.0,0.0,0.0,3,4
float,128,128,128,-no-reorder, , ,-pencils,-r2c_dir 0,256 1 1,256 1 1,4,fftw,2.137,58.367406606674194,theta-knl,256,256,64,False,0.0,0.0,1.0,4,4
float,128,128,128,-no-reorder, ,-p2p,-pencils,-r2c_dir 2,256 1 1,256 1 1,4,fftw,-23.3157,60.63946270942688,theta-knl,256,256,64,False,0.0,0.0,1.0,5,4
float,128,128,128,-reorder, , ,-pencils,-r2c_dir 2,256 1 1,256 1 1,4,fftw,-43.487,62.71631717681885,theta-knl,256,256,64,False,0.0,0.0,1.0,2,4
double,128,128,128,-no-reorder, , ,-pencils,-r2c_dir 2,256 1 1,256 1 1,2,fftw,-28.0682,64.87553334236145,theta-knl,256,256,64,False,0.0,0.0,0.0,3,4
float,128,128,128,-no-reorder,-a2av, ,-pencils,-r2c_dir 2,256 1 1,256 1 1,2,fftw,-43.6716,66.54507565498352,theta-knl,256,256,64,False,0.0,0.0,0.0,4,4
float,128,128,128,-reorder, , ,-pencils,-r2c_dir 2,256 1 1,256 1 1,2,fftw,-44.997,68.53128814697266,theta-knl,256,256,64,False,0.0,0.0,0.0,5,4
float,128,128,128,-reorder, , ,-slabs,-r2c_dir 2,256 1 1,256 1 1,4,fftw,-37.3058,70.55672454833984,theta-knl,256,256,64,False,0.0,0.0,1.0,2,4
double,128,128,128,-reorder, , ,-pencils,-r2c_dir 2,256 1 1,256 1 1,4,fftw,-22.1536,73.10650706291199,theta-knl,256,256,64,False,0.0,0.0,1.0,3,4
float,128,128,128,-no-reorder,-a2av, ,-pencils,-r2c_dir 2,256 1 1,256 1 1,4,fftw,-45.6251,74.62812614440918,theta-knl,256,256,64,False,0.0,0.0,1.0,4,4
float,128,128,128,-reorder, , ,-pencils,-r2c_dir 2,256 1 1,256 1 1,2,fftw,-44.3784,76.61069202423096,theta-knl,256,256,64,False,0.0,0.0,0.0,5,4
float,128,128,128,-reorder, ,-p2p,-pencils,-r2c_dir 2,256 1 1,256 1 1,2,fftw,-22.9745,78.80054450035095,theta-knl,256,256,64,False,0.0,0.0,0.0,2,4
float,128,128,128,-reorder, , ,-slabs,-r2c_dir 2,256 1 1,256 1 1,2,fftw,-36.6585,81.04291152954102,theta-knl,256,256,64,False,0.0,0.0,0.0,3,4
float,128,128,128,-reorder,-a2av, ,-pencils,-r2c_dir 2,256 1 1,256 1 1,4,fftw,-43.9882,82.80578780174255,theta-knl,256,256,64,False,0.0,0.0,1.0,4,4
float,128,128,128,-reorder,-a2av, ,-pencils,-r2c_dir 2,256 1 1,256 1 1,2,fftw,-47.1785,84.57046175003052,theta-knl,256,256,64,False,0.0,0.0,0.0,5,4
float,128,128,128,-no-reorder,-a2a, ,-pencils,-r2c_dir 2,256 1 1,256 1 1,4,fftw,-35.0377,86.72808170318604,theta-knl,256,256,64,False,0.0,0.0,1.0,2,4
float,128,128,128,-reorder, , ,-slabs,-r2c_dir 2,256 1 1,256 1 1,2,fftw,-37.4741,89.07191896438599,theta-knl,256,256,64,False,0.0,0.0,0.0,3,4
float,128,128,128,-reorder,-a2av, ,-pencils,-r2c_dir 2,256 1 1,256 1 1,2,fftw,-43.6663,90.72366738319396,theta-knl,256,256,64,False,0.0,0.0,0.0,4,4
float,128,128,128,-reorder,-a2av, ,-pencils,-r2c_dir 2,256 1 1,256 1 1,4,fftw,-43.9418,92.54475927352904,theta-knl,256,256,64,False,0.0,0.0,1.0,5,4
float,128,128,128,-reorder,-a2a, ,-pencils,-r2c_dir 2,256 1 1,256 1 1,2,fftw,-35.6601,94.81877779960632,theta-knl,256,256,64,False,0.0,0.0,0.0,2,4
float,128,128,128,-reorder, , ,-pencils,-r2c_dir 2,256 1 1,256 1 1,2,fftw,-44.3381,96.9773461818695,theta-knl,256,256,64,False,0.0,0.0,0.0,3,4
float,128,128,128,-reorder,-a2av, ,-slabs,-r2c_dir 2,256 1 1,256 1 1,4,fftw,-31.873,98.86847829818726,theta-knl,256,256,64,False,0.0,0.0,1.0,4,4
double,128,128,128,-reorder,-a2av, ,-pencils,-r2c_dir 2,256 1 1,256 1 1,2,fftw,-26.6145,100.74596500396729,theta-knl,256,256,64,False,0.0,0.0,0.0,5,4
float,128,128,128,-reorder,-a2av, ,-pencils,-r2c_dir 1,256 1 1,256 1 1,4,fftw,-42.8815,102.70484280586244,theta-knl,256,256,64,False,0.0,0.0,1.0,2,4
float,128,128,128,-reorder,-a2av, ,-pencils,-r2c_dir 2,256 1 1,256 1 1,2,fftw,-46.0343,104.96644949913023,theta-knl,256,256,64,False,0.0,0.0,0.0,3,4
float,128,128,128,-reorder,-a2a, ,-pencils,-r2c_dir 2,256 1 1,256 1 1,4,fftw,-35.4397,106.90654277801514,theta-knl,256,256,64,False,0.0,0.0,1.0,4,4
float,128,128,128,-reorder,-a2av, ,-pencils,-r2c_dir 2,256 1 1,256 1 1,2,fftw,-44.8347,108.76626777648926,theta-knl,256,256,64,False,0.0,0.0,0.0,5,4
