p0,p1x,p1y,p1z,p2,p3,p4,p5,p6,p7,p8,p9,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,p7_float,p8_float,p9_float,libE_id,libE_workers
float,1400,1400,1400, , , , , ,8192 1 1,8192 1 1,4,fftw,2.137,81.17982912063599,theta-knl,8192,256,64,False,0.0,0.0,1.0,2,4
float,1400,1400,1400,-no-reorder, , , ,-r2c_dir 1,8192 1 1,8192 1 1,4,fftw,-695.762,111.7827422618866,theta-knl,8192,256,64,False,0.0,0.0,1.0,3,4
float,1400,1400,1400,-no-reorder,-a2a, ,-pencils,-r2c_dir 2,8192 1 1,8192 1 1,2,fftw,-414.719,128.67583537101746,theta-knl,8192,256,64,False,0.0,0.0,0.0,4,4
double,1400,1400,1400,-reorder, ,-p2p, , ,8192 1 1,8192 1 1,2,fftw,2.137,133.21831130981445,theta-knl,8192,256,64,False,0.0,0.0,0.0,2,4
float,1400,1400,1400,-no-reorder, , ,-slabs,-r2c_dir 0,8192 1 1,8192 1 1,4,fftw,2.137,191.02123594284058,theta-knl,8192,256,64,False,0.0,0.0,1.0,2,4
float,1400,1400,1400,-no-reorder,-a2a, , ,-r2c_dir 0,8192 1 1,8192 1 1,2,fftw,2.137,216.49245953559875,theta-knl,8192,256,64,False,0.0,0.0,0.0,4,4
float,1400,1400,1400,-no-reorder, , , ,-r2c_dir 0,8192 1 1,8192 1 1,4,fftw,2.137,274.4114098548889,theta-knl,8192,256,64,False,0.0,0.0,1.0,4,4
double,1400,1400,1400,-no-reorder,-a2av,-p2p_pl,-slabs,-r2c_dir 2,8192 1 1,8192 1 1,4,fftw,-28.5455,284.99928426742554,theta-knl,8192,256,64,False,0.0,0.0,1.0,5,4
float,1400,1400,1400,-no-reorder, , , ,-r2c_dir 2,8192 1 1,8192 1 1,4,fftw,-647.043,294.5957317352295,theta-knl,8192,256,64,False,0.0,0.0,1.0,2,4
float,1400,1400,1400,-no-reorder, , , , ,8192 1 1,8192 1 1,4,fftw,2.137,332.27809715270996,theta-knl,8192,256,64,False,0.0,0.0,1.0,4,4
double,1400,1400,1400,-no-reorder, , , ,-r2c_dir 1,8192 1 1,8192 1 1,4,fftw,-332.731,393.0213451385498,theta-knl,8192,256,64,False,0.0,0.0,1.0,5,4
double,1400,1400,1400, ,-a2a,-p2p_pl,-pencils,-r2c_dir 2,8192 1 1,8192 1 1,2,fftw,1.0,414.68822288513184,theta-knl,8192,256,64,False,0.0,0.0,0.0,3,4
float,1400,1400,1400,-no-reorder, ,-p2p, ,-r2c_dir 2,8192 1 1,8192 1 1,4,fftw,-232.028,429.45438861846924,theta-knl,8192,256,64,False,0.0,0.0,1.0,2,4
float,1400,1400,1400,-no-reorder, , , ,-r2c_dir 2,8192 1 1,8192 1 1,2,fftw,-624.792,436.96135926246643,theta-knl,8192,256,64,False,0.0,0.0,0.0,4,4
double,1400,1400,1400,-no-reorder, , , ,-r2c_dir 2,8192 1 1,8192 1 1,4,fftw,-341.601,500.2395782470703,theta-knl,8192,256,64,False,0.0,0.0,1.0,5,4
float,1400,1400,1400,-reorder, , , ,-r2c_dir 2,8192 1 1,8192 1 1,4,fftw,-686.909,519.580775976181,theta-knl,8192,256,64,False,0.0,0.0,1.0,3,4
float,1400,1400,1400,-no-reorder, , ,-pencils,-r2c_dir 2,8192 1 1,8192 1 1,4,fftw,-641.189,530.8013486862183,theta-knl,8192,256,64,False,0.0,0.0,1.0,2,4
float,1400,1400,1400,-no-reorder, , ,-slabs,-r2c_dir 2,8192 1 1,8192 1 1,4,fftw,-442.418,598.4174761772156,theta-knl,8192,256,64,False,0.0,0.0,1.0,2,4
float,1400,1400,1400,-no-reorder,-a2av, , ,-r2c_dir 2,8192 1 1,8192 1 1,2,fftw,-522.852,601.2498741149902,theta-knl,8192,256,64,False,0.0,0.0,0.0,5,4
float,1400,1400,1400, , , , ,-r2c_dir 2,8192 1 1,8192 1 1,4,fftw,-681.897,620.489529132843,theta-knl,8192,256,64,False,0.0,0.0,1.0,3,4
float,1400,1400,1400,-no-reorder,-a2av, , ,-r2c_dir 2,8192 1 1,8192 1 1,4,fftw,-467.637,705.7345151901245,theta-knl,8192,256,64,False,0.0,0.0,1.0,5,4
