p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,ranks_per_node,gpu_enabled,libE_id,libE_workers
float,1024, , , ,-slabs, ,0.3942641647470445,0.4123544328653027,4,fftw,-246.533,25.255475759506226,theta-knl,512,64,False,5,4
float,1024, , , , , ,0.5,0.5,4,fftw,-368.719,29.462509632110596,theta-knl,512,64,False,2,4
float,1024,-no-reorder, , , ,-r2c_dir 1,0.49575040214351573,0.8193757852967771,4,fftw,-123.439,35.37483215332031,theta-knl,512,64,False,3,4
double,1024,-no-reorder,-a2av, ,-slabs,-r2c_dir 0,0.43313052912173944,0.6204066026833723,4,fftw,-83.4504,45.44378399848938,theta-knl,512,64,False,4,4
double,1024,-no-reorder,-a2av, ,-pencils,-r2c_dir 1,0.8607548168005809,0.03942365384175728,2,fftw,-227.91,53.960318088531494,theta-knl,512,64,False,2,4
float,1024, ,-a2av,-p2p,-pencils, ,0.20930063126317533,0.8881811432401187,2,fftw,-134.384,55.5478310585022,theta-knl,512,64,False,5,4
double,1024,-no-reorder, ,-p2p, ,-r2c_dir 0,0.4553348908058934,0.9526663138537921,4,fftw,-123.469,64.3323175907135,theta-knl,512,64,False,3,4
float,1024, , ,-p2p_pl,-pencils, ,0.913276381157598,0.033131262110711934,2,fftw,-281.796,64.94077610969543,theta-knl,512,64,False,4,4
float,1024, , , , ,-r2c_dir 2,0.741275216011065,0.2767606463356971,4,fftw,-329.298,70.05615496635437,theta-knl,512,64,False,2,4
float,1024, ,-a2av, ,-pencils, ,0.15201763888234543,0.48462331880931075,4,fftw,-275.398,75.89927768707275,theta-knl,512,64,False,5,4
float,1024, , ,-p2p_pl, , ,0.9934149066735127,0.09541162067028763,4,fftw,-615.703,84.98554849624634,theta-knl,512,64,False,2,4
float,1024,-reorder, , ,-pencils, ,0.537914021151162,0.05157495638401699,2,fftw,-435.206,86.4692952632904,theta-knl,512,64,False,4,4
float,1024, , , ,-pencils,-r2c_dir 0,0.6971345304340846,0.4173003623073921,4,fftw,-333.443,92.41703939437866,theta-knl,512,64,False,5,4
double,1024, , , , , ,0.6168994956660322,0.39783723710502006,4,fftw,-197.935,93.07807421684265,theta-knl,512,64,False,3,4
double,1024, , ,-p2p, , ,0.9652425613165662,0.14333655048064675,4,fftw,-240.695,106.82238626480103,theta-knl,512,64,False,2,4
float,1024,-no-reorder,-a2a,-p2p_pl, , ,0.7227682654732087,0.07479261089827138,4,fftw,-183.931,110.76699495315552,theta-knl,512,64,False,4,4
float,1024,-reorder, , , , ,0.9594262432036849,0.08616308923658822,4,fftw,-538.339,111.03980493545532,theta-knl,512,64,False,5,4
float,1024, , , , ,-r2c_dir 0,0.8925066112725547,0.07175420291325796,4,fftw,-443.894,115.09161496162415,theta-knl,512,64,False,3,4
double,1024, ,-a2a,-p2p_pl, , ,0.9042886878537849,0.11206996690638049,2,fftw,-334.925,126.70446181297302,theta-knl,512,64,False,2,4
float,1024,-reorder, , ,-pencils, ,0.966786452511925,0.09619031691494495,2,fftw,-553.034,129.4896514415741,theta-knl,512,64,False,4,4
float,1024,-reorder,-a2a, , ,-r2c_dir 1,0.9095741611998961,0.08224864561343281,4,fftw,-329.705,135.7821967601776,theta-knl,512,64,False,3,4
double,1024, , , , , ,0.9877786559392977,0.09026585145516819,4,fftw,-278.278,139.66619062423706,theta-knl,512,64,False,5,4
float,1024,-reorder, , ,-slabs, ,0.9860677711485435,0.15934221075495836,4,fftw,-430.116,145.35437512397766,theta-knl,512,64,False,4,4
float,1024, , ,-p2p_pl,-pencils,-r2c_dir 2,0.9490840563416475,0.08703357357834562,2,fftw,-319.13,146.82770943641663,theta-knl,512,64,False,2,4
float,1024,-reorder,-a2a,-p2p, , ,0.9655387411186578,0.11649689026461196,4,fftw,-512.962,158.99757504463196,theta-knl,512,64,False,3,4
float,1024,-reorder, , ,-slabs,-r2c_dir 0,0.9997082158859878,0.08337435272594218,4,fftw,-425.659,159.60454487800598,theta-knl,512,64,False,5,4
float,1024,-reorder, , , , ,0.9800060920656338,0.04559284317368062,4,fftw,-447.292,166.68632054328918,theta-knl,512,64,False,4,4
float,1024,-reorder, ,-p2p_pl, , ,0.9880608763297641,0.043677254467116566,4,fftw,-284.717,167.3969123363495,theta-knl,512,64,False,2,4
float,1024,-reorder,-a2a,-p2p_pl, , ,0.9813823257340072,0.12031160142151387,2,fftw,-593.787,177.1043210029602,theta-knl,512,64,False,3,4
float,1024,-reorder,-a2av,-p2p,-pencils, ,0.9917296960583822,0.10253909949851192,2,fftw,-510.179,177.98391127586365,theta-knl,512,64,False,5,4
float,1024,-reorder, , ,-slabs, ,0.9858068077404047,0.1091975040455816,4,fftw,-429.057,190.0749957561493,theta-knl,512,64,False,2,4
float,1024,-reorder, ,-p2p_pl,-pencils,-r2c_dir 1,0.9974357058639306,0.09965793261302658,2,fftw,-440.124,196.39460849761963,theta-knl,512,64,False,5,4
float,1024,-reorder,-a2a,-p2p_pl, ,-r2c_dir 1,0.9913009503469123,0.10571953190643257,2,fftw,-429.397,204.03594040870667,theta-knl,512,64,False,3,4
float,1024,-reorder,-a2a,-p2p_pl, , ,0.9866575367612431,0.11377554360328834,2,fftw,-597.867,205.77362370491028,theta-knl,512,64,False,2,4
float,1024,-reorder,-a2a,-p2p, , ,0.9734101638133068,0.1005534804046766,2,fftw,-511.005,221.4627022743225,theta-knl,512,64,False,2,4
double,1024,-reorder,-a2a,-p2p,-slabs,-r2c_dir 0,0.975408591833629,0.09721692832878992,4,fftw,-53.7489,222.45754504203796,theta-knl,512,64,False,4,4
float,1024,-reorder,-a2a,-p2p_pl, ,-r2c_dir 2,0.9998893784694598,0.4115067263711455,2,fftw,-285.97,224.6160078048706,theta-knl,512,64,False,3,4
float,1024,-reorder,-a2a,-p2p_pl, , ,0.7867677860322415,0.12003806962857266,2,fftw,-551.14,237.7970781326294,theta-knl,512,64,False,3,4
float,1024,-reorder,-a2a,-p2p_pl, ,-r2c_dir 0,0.9941243017853462,0.2531423717889558,2,fftw,-394.745,241.9454391002655,theta-knl,512,64,False,2,4
float,1024, ,-a2a, , , ,0.9997937684718141,0.09415965404257742,4,fftw,-47.6624,256.17090606689453,theta-knl,512,64,False,5,4
float,1024,-reorder,-a2a,-p2p_pl, , ,0.6776057002865764,0.16738816034481396,2,fftw,-600.619,258.06045866012573,theta-knl,512,64,False,3,4
float,1024,-reorder,-a2av,-p2p,-slabs, ,0.9735061426405852,0.09943901191659443,2,fftw,-67.3797,269.69570446014404,theta-knl,512,64,False,4,4
float,1024,-reorder,-a2a,-p2p_pl, , ,0.25856675029256915,0.14435895668246346,2,fftw,-455.568,276.30497121810913,theta-knl,512,64,False,3,4
float,1024,-reorder,-a2av,-p2p, ,-r2c_dir 1,0.9756009507428951,0.11274306560682235,4,fftw,-174.987,281.6059899330139,theta-knl,512,64,False,2,4
float,1024,-reorder,-a2a,-p2p_pl,-slabs, ,0.6520386047858355,0.17135336617513508,2,fftw,-282.946,282.565141916275,theta-knl,512,64,False,5,4
float,1024,-reorder, ,-p2p_pl, , ,0.9255948803242441,0.1137335191033002,2,fftw,-619.808,284.72438383102417,theta-knl,512,64,False,4,4
float,1024,-reorder, ,-p2p_pl,-pencils, ,0.9685036604630091,0.09808514016894943,2,fftw,-623.332,298.5020411014557,theta-knl,512,64,False,3,4
float,1024,-reorder,-a2a,-p2p_pl, , ,0.6863828091317412,0.1373727089042911,2,fftw,-535.883,299.7035229206085,theta-knl,512,64,False,2,4
float,1024,-reorder,-a2a,-p2p, , ,0.9694025626090456,0.15979778911634757,2,fftw,-525.425,304.7277617454529,theta-knl,512,64,False,4,4
float,1024,-reorder, ,-p2p_pl, , ,0.2618095021007112,0.11404292688895867,4,fftw,-474.02,306.5292708873749,theta-knl,512,64,False,5,4
float,1024,-reorder, , , , ,0.9240876506991909,0.09393954843531727,2,fftw,-539.128,318.3684546947479,theta-knl,512,64,False,2,4
float,1024,-reorder,-a2a,-p2p_pl, , ,0.6711088895807056,0.12927376646095268,2,fftw,-534.106,324.27631545066833,theta-knl,512,64,False,4,4
double,1024,-reorder,-a2av,-p2p_pl,-slabs, ,0.9632857850398734,0.11554144287256263,2,fftw,-160.894,329.3438217639923,theta-knl,512,64,False,3,4
float,1024,-no-reorder,-a2a,-p2p_pl, , ,0.6938329877855282,0.12503862567283985,2,fftw,-164.493,334.79268884658813,theta-knl,512,64,False,5,4
