c0,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,mpi_ranks,FLOPS,elapsed_sec,identifier,threads_per_node,ranks_per_node,gpu_enabled,libE_id,libE_workers
fftw,float,1024, ,-a2av,-p2p, ,-r2c_dir 0,0.4431765527844457,0.903018630879212,0.6645916412686997,2048,-359.587,98.1259491443634,theta-knl,64,64,False,0,1
fftw,float,1024,-no-reorder, , ,-pencils,-r2c_dir 1,0.0082445502522313,0.5156827553589598,0.5581624564804387,2048,-611.005,114.22512483596802,theta-knl,64,64,False,0,1
fftw,double,1024,-no-reorder,-a2av,-p2p_pl,-slabs,-r2c_dir 2,0.8512034559116024,0.7126391404251164,0.1095291148160448,2048,-202.786,153.79057121276855,theta-knl,64,64,False,0,1
fftw,float,1024,-reorder,-a2a,-p2p, , ,0.7042238148802102,0.6520444680022498,0.9339134786084288,2048,-645.674,170.87099695205688,theta-knl,64,64,False,0,1
fftw,float,1024,-no-reorder,-a2a, ,-pencils,-r2c_dir 0,0.1152543899340284,0.2660136913633746,0.404958626667385,2048,-58.2277,221.42822456359863,theta-knl,64,64,False,0,1
fftw,double,1024, ,-a2a, ,-slabs,-r2c_dir 1,0.3497881044938829,0.1893082779761565,0.0563232117414323,2048,-15.1802,372.305278301239,theta-knl,64,64,False,0,1
fftw,float,1024,-reorder, ,-p2p,-slabs, ,0.2304244190751457,0.0090993403255857,0.8785213324356352,2048,1.0,382.5801160335541,theta-knl,64,64,False,0,1
fftw,double,1024,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 1,0.9208349944805646,0.2769237897389828,0.3329604227410734,2048,-444.373,400.86114954948425,theta-knl,64,64,False,0,1
fftw,double,1024,-no-reorder,-a2a,-p2p,-slabs,-r2c_dir 2,0.9440300782175364,0.8495464777519586,0.5063547499619286,2048,-271.747,422.4179768562317,theta-knl,64,64,False,0,1
fftw,float,1024, , , , ,-r2c_dir 0,0.7675504790211404,0.4467634761318066,0.397011408915577,2048,-1085.67,439.8062779903412,theta-knl,64,64,False,0,1
fftw,double,1024, ,-a2a,-p2p,-slabs, ,0.142364767689959,0.5889513439642188,0.2127978356200857,2048,-217.094,462.59769797325134,theta-knl,64,64,False,0,1
fftw,double,1024,-reorder,-a2av, ,-pencils, ,0.5165126417854197,0.9414949802936912,0.8212940605397688,2048,-436.868,482.1496889591217,theta-knl,64,64,False,0,1
fftw,float,1024, , ,-p2p_pl,-pencils,-r2c_dir 2,0.578229940007258,0.7576196437861129,0.75102341679286,2048,-1100.11,496.016553401947,theta-knl,64,64,False,0,1
fftw,double,1024,-no-reorder, ,-p2p_pl, ,-r2c_dir 1,0.2827331856120507,0.3523846965525666,0.7179001305067431,2048,-380.147,515.526294708252,theta-knl,64,64,False,0,1
fftw,float,1024,-reorder,-a2av,-p2p_pl, ,-r2c_dir 2,0.6435532973436361,0.1143191593265327,0.1591903618802829,2048,-835.124,532.2871158123016,theta-knl,64,64,False,0,1
fftw,float,1024, , ,-p2p_pl,-pencils,-r2c_dir 1,0.6316524431259933,0.7604890125473005,0.0840825244660084,2048,-895.179,1460.9342770576477,theta-knl,64,64,False,0,1
fftw,float,1024, , , ,-pencils, ,0.6468801228942838,0.4924658559896692,0.1488230016831773,2048,-1127.58,1564.8578650951383,theta-knl,64,64,False,0,1
fftw,float,1024, , , ,-slabs, ,0.6817946891949324,0.8238067028141083,0.8321794425867003,2048,-461.047,1720.6581871509552,theta-knl,64,64,False,0,1
fftw,float,1024, ,-a2av, ,-slabs,-r2c_dir 2,0.8408678633977162,0.4746136544711827,0.1626469717769415,2048,-550.862,1846.1328394413,theta-knl,64,64,False,0,1
fftw,float,1024, , , ,-pencils, ,0.6008785472172051,0.2169027477263158,0.8776445811174829,2048,-1095.01,2007.195768117905,theta-knl,64,64,False,0,1
fftw,float,1024, ,-a2av,-p2p,-slabs,-r2c_dir 2,0.8144094913072073,0.7691435162974328,0.0013896463894741,2048,-425.885,2136.0457158088684,theta-knl,64,64,False,0,1
fftw,float,1024, , ,-p2p_pl, ,-r2c_dir 2,0.4770140764330589,0.7059343697811385,0.1487366608074624,2048,-944.874,2302.416720151901,theta-knl,64,64,False,0,1
fftw,float,1024, , , , ,-r2c_dir 1,0.7825537318668608,0.4448542750005632,0.2931679339146794,2048,-1018.24,2429.5719912052155,theta-knl,64,64,False,0,1
fftw,float,1024,-no-reorder, , ,-slabs, ,0.9426917811163664,0.0592191259521929,0.7933692155737967,2048,1.0,2540.915875673294,theta-knl,64,64,False,0,1
fftw,double,1024,-no-reorder, , ,-slabs,-r2c_dir 0,0.7982340595390559,0.5058698753227864,0.6969633015084972,2048,-242.958,2696.0978121757507,theta-knl,64,64,False,0,1
fftw,float,1024, , ,-p2p_pl, ,-r2c_dir 1,0.5771451413639598,0.5864464531773075,0.2207831996471612,2048,-1076.43,2849.330238580704,theta-knl,64,64,False,0,1
fftw,float,1024, , , , , ,0.3614500547780542,0.5161357895638646,0.0703795920014313,2048,-952.573,2962.1589155197144,theta-knl,64,64,False,0,1
fftw,float,1024,-reorder, , ,-slabs, ,0.6239571378794169,0.4472119338931298,0.3625840594129673,2048,-437.326,3069.374016046524,theta-knl,64,64,False,0,1
fftw,double,1024,-reorder, ,-p2p_pl, , ,0.5215477061670576,0.4118760279816277,0.8511133847905923,2048,-424.552,3215.033055305481,theta-knl,64,64,False,0,1
fftw,float,1024, , , , ,-r2c_dir 2,0.5177508954065387,0.6118609121160057,0.23469410127982265,2048,-997.373,3334.218507528305,theta-knl,64,64,False,0,1
