p0,p1x,p1y,p1z,p2,p3,p4,p5,p6,p7,p8,p9,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,libE_id,libE_workers
double,64,64,64,-reorder, , ,-pencils,-r2c_dir 0,8 1 1,8 1 1,3,cufft,-3.79959,12.579198122024536,polaris-gpu,8,64,4,True,4,4
double,64,64,64,-reorder,-a2av, ,-slabs,-r2c_dir 2,8 1 1,8 1 1,4,cufft,-0.934991,12.904346466064453,polaris-gpu,8,64,4,True,3,4
