p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,ranks_per_node,gpu_enabled,libE_id,libE_workers
float,512, ,-a2a, , , ,0.14778282927260922,0.4909060944506086,16,cufft,-211.174,81.90692377090454,polaris-gpu,32,4,True,2,4
double,512,-no-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 2,0.8793685844422302,0.49338772082742066,2,cufft,2.255,90.13280773162842,polaris-gpu,32,4,True,4,4
float,512, ,-a2a,-p2p_pl, , ,0.6383838366395377,0.4939682327815753,16,cufft,-847.22,85.67712378501892,polaris-gpu,32,4,True,2,4
float,512,-no-reorder,-a2a,-p2p_pl,-pencils, ,0.8165100259492598,0.4593749818270223,16,cufft,-947.67,89.24354314804077,polaris-gpu,32,4,True,2,4
float,512,-reorder,-a2a,-p2p_pl, ,-r2c_dir 1,0.9261173980734041,0.4955798950243059,16,cufft,-930.847,91.78109455108643,polaris-gpu,32,4,True,2,4
float,512, ,-a2av,-p2p_pl,-pencils, ,0.8648911180282808,0.4412059126190264,16,cufft,-1402.27,93.81601524353027,polaris-gpu,32,4,True,2,4
float,512,-no-reorder,-a2a,-p2p_pl,-slabs, ,0.8546162354128608,0.2471884312334428,16,cufft,-139.007,102.34545302391052,polaris-gpu,32,4,True,2,4
double,512, ,-a2a,-p2p_pl,-pencils, ,0.27022673799201724,0.46688363695047275,16,cufft,-192.147,101.04301166534424,polaris-gpu,32,4,True,3,4
float,512, ,-a2a,-p2p_pl,-pencils, ,0.7681095859529012,0.47683195444277104,16,cufft,-169.76,99.4408347606659,polaris-gpu,32,4,True,4,4
float,512,-no-reorder,-a2av,-p2p_pl,-pencils, ,0.8702261851732801,0.027988243407593205,16,cufft,-143.302,102.36429643630981,polaris-gpu,32,4,True,5,4
float,512, , ,-p2p_pl,-pencils, ,0.9454638812404043,0.46995276371439765,16,cufft,-1256.04,103.27698802947998,polaris-gpu,32,4,True,3,4
float,512,-no-reorder,-a2a,-p2p_pl, , ,0.8595529834690498,0.906867380101945,16,cufft,-984.185,104.66637992858887,polaris-gpu,32,4,True,2,4
double,512, ,-a2a,-p2p_pl,-pencils, ,0.872273278363839,0.4287362187064504,16,cufft,-631.687,107.66759872436523,polaris-gpu,32,4,True,2,4
float,512,-reorder,-a2a, , , ,0.9140600451944326,0.4923189086680949,16,cufft,-672.028,107.76765155792236,polaris-gpu,32,4,True,3,4
float,512, ,-a2a,-p2p_pl,-pencils, ,0.9758578308821615,0.46363430079029644,16,cufft,-687.431,109.9995768070221,polaris-gpu,32,4,True,4,4
float,512, ,-a2a,-p2p_pl,-pencils,-r2c_dir 1,0.861946604969258,0.49185701348052546,16,cufft,-475.469,110.29997158050537,polaris-gpu,32,4,True,5,4
float,512, , ,-p2p_pl, , ,0.8656238826295909,0.9838116164322593,16,cufft,-953.389,111.33164644241333,polaris-gpu,32,4,True,2,4
double,512, ,-a2av,-p2p_pl,-pencils, ,0.8780664413203862,0.4817306427462493,16,cufft,-1013.71,112.76395297050476,polaris-gpu,32,4,True,3,4
float,512,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 2,0.9721255017996353,0.502850207542907,16,cufft,1.0,133.09813451766968,polaris-gpu,32,4,True,2,4
float,512, ,-a2a,-p2p_pl, , ,0.89348854384705,0.5077275128811949,16,cufft,-911.305,115.63647174835205,polaris-gpu,32,4,True,3,4
float,512,-no-reorder, ,-p2p_pl, , ,0.868168458961018,0.49628643885575763,16,cufft,-480.218,118.35503888130188,polaris-gpu,32,4,True,4,4
float,512,-no-reorder,-a2a,-p2p_pl,-slabs, ,0.9123700334431974,0.4949473185266967,16,cufft,-175.936,119.95700669288635,polaris-gpu,32,4,True,5,4
