p0,p1x,p1y,p1z,p2,p3,p4,p5,p6,p7,p8,p9,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,libE_id,libE_workers
float,512,512,1024,-no-reorder, , , ,-r2c_dir 1,4 8 4,4 4 8,8,cufft,-2453.68,4.752472639083862,polaris-gpu,128,64,4,True,3,2
float,512,512,1024, , , , , ,4 4 8,4 4 8,16,cufft,-1574.79,4.998197555541992,polaris-gpu,128,64,4,True,2,2
float,512,512,1024,-no-reorder,-a2a,-p2p_pl,-slabs,-r2c_dir 2,8 16 1,2 1 64,12,cufft,-4125.59,7.887965440750122,polaris-gpu,128,64,4,True,2,2
float,512,512,1024,-no-reorder, ,-p2p_pl,-pencils,-r2c_dir 2,4 16 2,2 4 16,16,cufft,-1551.59,8.249229192733765,polaris-gpu,128,64,4,True,3,2
double,512,512,1024, ,-a2a,-p2p,-slabs,-r2c_dir 1,4 2 16,4 1 32,4,cufft,-409.049,14.414775371551514,polaris-gpu,128,64,4,True,2,2
float,512,512,1024,-reorder, ,-p2p_pl,-slabs, ,1 32 4,1 4 32,4,cufft,-1911.75,15.131054162979126,polaris-gpu,128,64,4,True,3,2
float,512,512,1024, ,-a2a,-p2p_pl,-pencils,-r2c_dir 1,16 2 4,1 32 4,8,cufft,-3894.24,21.499696254730225,polaris-gpu,128,64,4,True,3,2
float,512,512,1024,-no-reorder,-a2a,-p2p_pl,-slabs,-r2c_dir 1,2 2 32,2 16 4,2,cufft,-1927.7,26.48028564453125,polaris-gpu,128,64,4,True,3,2
double,512,512,1024,-no-reorder,-a2a, ,-pencils, ,16 1 8,4 8 4,2,cufft,-76.2833,27.700114488601685,polaris-gpu,128,64,4,True,2,2
double,512,512,1024,-no-reorder,-a2a,-p2p_pl, ,-r2c_dir 1,1 32 4,4 2 16,8,cufft,-1753.19,31.60434889793396,polaris-gpu,128,64,4,True,2,2
float,512,512,1024,-no-reorder,-a2a,-p2p_pl,-slabs,-r2c_dir 1,1 4 32,8 8 2,8,cufft,-3580.18,33.73424315452576,polaris-gpu,128,64,4,True,3,2
float,512,512,1024,-reorder,-a2a,-p2p_pl,-pencils, ,16 1 8,1 8 16,8,cufft,-3131.96,36.59118676185608,polaris-gpu,128,64,4,True,2,2
float,512,512,1024,-no-reorder,-a2a,-p2p_pl,-slabs,-r2c_dir 1,1 1 128,1 32 4,8,cufft,-4079.68,38.91695785522461,polaris-gpu,128,64,4,True,3,2
float,512,512,1024,-no-reorder,-a2a,-p2p_pl,-slabs,-r2c_dir 2,8 16 1,32 4 1,8,cufft,-2554.68,41.76467156410217,polaris-gpu,128,64,4,True,2,2
float,512,512,1024,-no-reorder,-a2a,-p2p_pl,-slabs,-r2c_dir 1,8 1 16,128 1 1,8,cufft,-2196.59,44.05009150505066,polaris-gpu,128,64,4,True,3,2
