p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p7_float,p8_float,p9_float,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,libE_id,libE_workers
float,1400,-no-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 0,8 8 16,256 4 1,2,0.4923076923076923,0.0461538461538461,0.0,fftw,-763.287,174.22553992271423,theta-knl,1024,256,64,False,5,4
float,1400,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 0,8 8 16,512 2 1,2,0.4923076923076923,0.0153846153846153,0.0,fftw,-861.39,179.9769320487976,theta-knl,1024,256,64,False,2,4
float,1400,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 0,8 8 16,256 4 1,2,0.4923076923076923,0.0461538461538461,0.0,fftw,-943.628,182.5700433254242,theta-knl,1024,256,64,False,3,4
float,1400,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 0,8 8 16,512 2 1,4,0.4923076923076923,0.0153846153846153,1.0,fftw,-891.711,185.81500935554504,theta-knl,1024,256,64,False,4,4
float,1400,-reorder, ,-p2p_pl,-pencils,-r2c_dir 0,8 8 16,512 2 1,2,0.4923076923076923,0.0153846153846153,0.0,fftw,-891.262,192.6869192123413,theta-knl,1024,256,64,False,5,4
float,1400,-reorder, ,-p2p_pl,-pencils,-r2c_dir 1,8 8 16,256 4 1,2,0.4923076923076923,0.0461538461538461,0.0,fftw,-639.133,202.51498556137085,theta-knl,1024,256,64,False,2,4
double,1400,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 0,8 8 16,32 32 1,2,0.4923076923076923,0.2307692307692307,0.0,fftw,-549.999,206.92213678359985,theta-knl,1024,256,64,False,3,4
float,1400,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 0,8 8 16,256 4 1,2,0.4923076923076923,0.0461538461538461,0.0,fftw,-961.92,203.9932971000672,theta-knl,1024,256,64,False,4,4
float,1400,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 0,8 8 16,256 4 1,2,0.4923076923076923,0.0461538461538461,0.0,fftw,-976.271,210.78732800483704,theta-knl,1024,256,64,False,5,4
float,1400,-reorder, ,-p2p_pl,-pencils,-r2c_dir 0,8 8 16,256 4 1,2,0.4923076923076923,0.0461538461538461,0.0,fftw,-890.775,220.9624466896057,theta-knl,1024,256,64,False,2,4
