p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,ranks_per_node,gpu_enabled,libE_id,libE_workers
float,64,-no-reorder, , , ,-r2c_dir 1,0.6898677999598938,0.8750934274042707,4,fftw,-46.0261,128.75830698013306,theta-knl,64,64,False,4,4
float,64, , , , ,-r2c_dir 1,0.927270926957064,0.7805422085379217,4,fftw,-44.5567,128.26482939720154,theta-knl,64,64,False,2,4
float,64,-no-reorder, , , ,-r2c_dir 2,0.9890054510696054,0.828650778469419,2,fftw,-43.6276,131.35976028442383,theta-knl,64,64,False,5,4
float,64,-no-reorder,-a2av, , ,-r2c_dir 1,0.9965808887776775,0.8186915420764812,4,fftw,-40.9112,137.63404417037964,theta-knl,64,64,False,2,4
float,64,-no-reorder, , , ,-r2c_dir 1,0.9806569701312439,0.850258146283061,4,fftw,-37.7191,140.4902641773224,theta-knl,64,64,False,3,4
float,64, , , , ,-r2c_dir 1,0.8426542963870847,0.9152569213725209,4,fftw,-44.9473,141.44273376464844,theta-knl,64,64,False,4,4
float,64,-no-reorder, , , ,-r2c_dir 1,0.9955945720041994,0.5950088997099916,4,fftw,-54.6507,146.1647493839264,theta-knl,64,64,False,5,4
float,64,-no-reorder, , , ,-r2c_dir 1,0.7046239250872244,0.9731865909011271,2,fftw,-40.8825,145.60359907150269,theta-knl,64,64,False,2,4
float,64, , , , ,-r2c_dir 1,0.7802446238595442,0.8509421673066675,4,fftw,-40.8268,148.76637864112854,theta-knl,64,64,False,3,4
float,64, , , , , ,0.9777747164129302,0.8250621746176203,4,fftw,-48.2477,151.43577194213867,theta-knl,64,64,False,4,4
float,64,-no-reorder, , , ,-r2c_dir 1,0.9727918916196182,0.7922453481707421,4,fftw,-41.6184,153.0635941028595,theta-knl,64,64,False,2,4
float,64, , , , ,-r2c_dir 1,0.9850579914609062,0.2231212431608358,2,fftw,-39.3276,157.908287525177,theta-knl,64,64,False,3,4
float,64,-reorder, , , ,-r2c_dir 1,0.9855797716204339,0.5936229238622767,2,fftw,-46.8298,158.98462057113647,theta-knl,64,64,False,4,4
double,64, , , , ,-r2c_dir 1,0.9424223144066295,0.7749936476992878,2,fftw,-21.0312,159.7357692718506,theta-knl,64,64,False,2,4
float,64, , , , ,-r2c_dir 1,0.8657605010301744,0.8808910221474855,2,fftw,-41.6833,161.8570215702057,theta-knl,64,64,False,5,4
float,64,-no-reorder, , , ,-r2c_dir 0,0.9836807989224886,0.3312484161647222,4,fftw,-52.9715,166.54471492767334,theta-knl,64,64,False,2,4
float,64, , , , ,-r2c_dir 1,0.9642045976718535,0.8875469259993296,2,fftw,-42.7955,174.7860267162323,theta-knl,64,64,False,3,4
float,64,-no-reorder, , , ,-r2c_dir 1,0.8917942971131055,0.42994591107739344,4,fftw,-47.6437,169.97606110572815,theta-knl,64,64,False,4,4
float,64,-reorder, , , ,-r2c_dir 0,0.9908175142326237,0.6620718675995728,4,fftw,-39.2294,176.4334635734558,theta-knl,64,64,False,5,4
float,64,-reorder, , , ,-r2c_dir 0,0.9937329778144698,0.7187192645589624,4,fftw,-38.6004,174.05971217155457,theta-knl,64,64,False,2,4
float,64,-no-reorder, , , , ,0.9718941031005743,0.16544898446082834,4,fftw,-42.694,181.22636032104492,theta-knl,64,64,False,4,4
float,64, , , , ,-r2c_dir 1,0.9995135417428285,0.5936537649276441,4,fftw,-53.6202,185.14972066879272,theta-knl,64,64,False,2,4
float,64,-no-reorder, , , ,-r2c_dir 1,0.7882677987569806,0.3918953111428445,4,fftw,-48.5436,187.86039209365845,theta-knl,64,64,False,3,4
float,64,-no-reorder, , , ,-r2c_dir 1,0.8941924460619436,0.31245144331584396,4,fftw,-42.7955,185.8463945388794,theta-knl,64,64,False,5,4
float,64,-no-reorder, , , ,-r2c_dir 2,0.8778864868112942,0.5567680012281851,4,fftw,-36.3582,194.2346019744873,theta-knl,64,64,False,4,4
float,64,-no-reorder, , , ,-r2c_dir 1,0.9736134046072065,0.5079451634424573,4,fftw,-48.694,196.48646235466003,theta-knl,64,64,False,2,4
float,64,-no-reorder, , , ,-r2c_dir 2,0.9810558221047613,0.5163491427313303,4,fftw,-37.1429,201.3574960231781,theta-knl,64,64,False,3,4
float,64,-no-reorder, , , ,-r2c_dir 1,0.8317005658465154,0.4490945676618381,4,fftw,-45.9705,203.38658666610718,theta-knl,64,64,False,5,4
float,64, , , , ,-r2c_dir 2,0.9837054847703117,0.2696422652040884,4,fftw,-39.8936,208.1066858768463,theta-knl,64,64,False,4,4
float,64,-no-reorder, , , ,-r2c_dir 0,0.9822888177245658,0.4980882320078297,4,fftw,-40.3507,205.82695651054382,theta-knl,64,64,False,2,4
float,64,-no-reorder,-a2a, , ,-r2c_dir 1,0.9975498712459965,0.4160810532792345,2,fftw,-20.9528,213.13751459121704,theta-knl,64,64,False,3,4
float,64,-reorder, , , ,-r2c_dir 1,0.9887782209852173,0.513544222304284,4,fftw,-52.427,217.42274498939514,theta-knl,64,64,False,5,4
float,64,-no-reorder, , , ,-r2c_dir 1,0.9594772318587147,0.3131744397234504,4,fftw,-42.9273,215.15497541427612,theta-knl,64,64,False,2,4
