p0,p1x,p1y,p1z,p2,p3,p4,p5,p6,p7,p8,p9,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,p7_float,p8_float,p9_float,libE_id,libE_workers
float,256,256,256,-no-reorder, , ,-pencils,-r2c_dir 0,32 1 1,32 1 1,16,cufft,2.255,5.4253458976745605,polaris-gpu,32,64,4,True,0.0,0.0,1.0,2,4
float,256,256,256,-no-reorder, , ,-pencils,-r2c_dir 1,32 1 1,32 1 1,4,cufft,-164.494,5.511437654495239,polaris-gpu,32,64,4,True,0.0,0.0,0.25,3,4
float,256,256,256,-no-reorder,-a2av, ,-pencils,-r2c_dir 1,32 1 1,32 1 1,4,cufft,-163.561,5.897512674331665,polaris-gpu,32,64,4,True,0.0,0.0,0.25,5,4
double,256,256,256,-no-reorder, , ,-pencils,-r2c_dir 0,32 1 1,32 1 1,2,cufft,-102.649,8.31328272819519,polaris-gpu,32,64,4,True,0.0,0.0,0.0,2,4
double,256,256,256,-reorder,-a2a, ,-slabs,-r2c_dir 1,32 1 1,32 1 1,8,cufft,2.255,9.640954971313477,polaris-gpu,32,64,4,True,0.0,0.0,0.5,3,4
float,256,256,256,-no-reorder, , ,-slabs,-r2c_dir 1,32 1 1,32 1 1,4,cufft,-165.34,12.696681261062622,polaris-gpu,32,64,4,True,0.0,0.0,0.25,3,4
float,256,256,256,-no-reorder,-a2av, ,-pencils,-r2c_dir 0,32 1 1,32 1 1,4,cufft,2.255,14.201115608215332,polaris-gpu,32,64,4,True,0.0,0.0,0.25,5,4
float,256,256,256,-no-reorder,-a2av,-p2p,-pencils,-r2c_dir 1,32 1 1,32 1 1,4,cufft,-101.83,14.717875242233276,polaris-gpu,32,64,4,True,0.0,0.0,0.25,4,4
float,256,256,256,-no-reorder, , ,-pencils,-r2c_dir 1,32 1 1,32 1 1,4,cufft,-163.741,16.323317289352417,polaris-gpu,32,64,4,True,0.0,0.0,0.25,3,4
float,256,256,256,-no-reorder, , ,-pencils,-r2c_dir 1,32 1 1,32 1 1,12,cufft,-165.134,17.73206853866577,polaris-gpu,32,64,4,True,0.0,0.0,0.75,4,4
float,256,256,256,-no-reorder,-a2av, ,-slabs,-r2c_dir 1,32 1 1,32 1 1,4,cufft,-165.191,19.28427743911743,polaris-gpu,32,64,4,True,0.0,0.0,0.25,3,4
float,256,256,256,-no-reorder, ,-p2p_pl,-pencils,-r2c_dir 1,32 1 1,32 1 1,4,cufft,-169.618,21.62529468536377,polaris-gpu,32,64,4,True,0.0,0.0,0.25,3,4
float,256,256,256,-no-reorder, , ,-slabs,-r2c_dir 1,32 1 1,32 1 1,8,cufft,-163.047,22.9733407497406,polaris-gpu,32,64,4,True,0.0,0.0,0.5,5,4
float,256,256,256,-no-reorder, ,-p2p_pl,-slabs,-r2c_dir 1,32 1 1,32 1 1,4,cufft,-168.266,25.21838688850403,polaris-gpu,32,64,4,True,0.0,0.0,0.25,3,4
float,256,256,256,-no-reorder, , ,-pencils,-r2c_dir 1,32 1 1,32 1 1,16,cufft,-163.408,26.538581371307373,polaris-gpu,32,64,4,True,0.0,0.0,1.0,5,4
