p0,p1x,p1y,p1z,p2,p3,p4,p5,p6,p7,p8,p9,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,p7_float,p8_float,p9_float,libE_id,libE_workers
float,512,512,512,-reorder,-a2av, ,-pencils,-r2c_dir 2,1024 1 1,1024 1 1,4,fftw,-270.492,119.5247790813446,theta-knl,1024,256,64,False,0.0,0.0,1.0,4,4
float,512,512,512,-reorder, , ,-slabs,-r2c_dir 2,1024 1 1,1024 1 1,2,fftw,-200.661,121.15930128097534,theta-knl,1024,256,64,False,0.0,0.0,0.0,5,4
float,512,512,512,-reorder, , ,-pencils,-r2c_dir 2,1024 1 1,1024 1 1,2,fftw,-269.646,125.67992353439332,theta-knl,1024,256,64,False,0.0,0.0,0.0,2,4
double,512,512,512,-reorder, , ,-pencils,-r2c_dir 2,1024 1 1,1024 1 1,2,fftw,-147.624,128.59332919120789,theta-knl,1024,256,64,False,0.0,0.0,0.0,3,4
float,512,512,512,-reorder,-a2av, ,-pencils,-r2c_dir 2,1024 1 1,1024 1 1,4,fftw,-272.213,130.24914693832395,theta-knl,1024,256,64,False,0.0,0.0,1.0,4,4
float,512,512,512,-reorder, , ,-pencils,-r2c_dir 2,1024 1 1,1024 1 1,2,fftw,-274.835,131.75465774536133,theta-knl,1024,256,64,False,0.0,0.0,0.0,5,4
float,512,512,512,-reorder, , ,-slabs,-r2c_dir 2,1024 1 1,1024 1 1,4,fftw,-201.353,135.91489934921265,theta-knl,1024,256,64,False,0.0,0.0,1.0,2,4
float,512,512,512,-reorder, ,-p2p,-pencils,-r2c_dir 2,1024 1 1,1024 1 1,4,fftw,-201.239,140.50153255462646,theta-knl,1024,256,64,False,0.0,0.0,1.0,3,4
float,512,512,512,-reorder,-a2av, ,-pencils,-r2c_dir 2,1024 1 1,1024 1 1,2,fftw,-276.942,141.01502132415771,theta-knl,1024,256,64,False,0.0,0.0,0.0,4,4
float,512,512,512,-reorder,-a2a, ,-pencils,-r2c_dir 2,1024 1 1,1024 1 1,4,fftw,-199.752,143.1959388256073,theta-knl,1024,256,64,False,0.0,0.0,1.0,5,4
float,512,512,512,-reorder,-a2av, ,-pencils,-r2c_dir 2,1024 1 1,1024 1 1,2,fftw,-274.101,146.35195136070251,theta-knl,1024,256,64,False,0.0,0.0,0.0,2,4
float,512,512,512,-reorder, , ,-slabs,-r2c_dir 2,1024 1 1,1024 1 1,2,fftw,-199.453,150.8615448474884,theta-knl,1024,256,64,False,0.0,0.0,0.0,3,4
float,512,512,512,-reorder,-a2av, ,-pencils,-r2c_dir 2,1024 1 1,1024 1 1,4,fftw,-270.912,152.87140154838562,theta-knl,1024,256,64,False,0.0,0.0,1.0,4,4
float,512,512,512,-reorder,-a2av,-p2p,-pencils,-r2c_dir 2,1024 1 1,1024 1 1,4,fftw,-197.08,156.6130247116089,theta-knl,1024,256,64,False,0.0,0.0,1.0,5,4
float,512,512,512,-reorder,-a2a, ,-pencils,-r2c_dir 2,1024 1 1,1024 1 1,2,fftw,-199.682,157.3569312095642,theta-knl,1024,256,64,False,0.0,0.0,0.0,2,4
float,512,512,512,-no-reorder,-a2av, ,-pencils,-r2c_dir 2,1024 1 1,1024 1 1,2,fftw,-233.053,161.47065019607544,theta-knl,1024,256,64,False,0.0,0.0,0.0,3,4
float,512,512,512,-reorder,-a2av, ,-pencils,-r2c_dir 2,1024 1 1,1024 1 1,2,fftw,-273.656,163.43092274665833,theta-knl,1024,256,64,False,0.0,0.0,0.0,4,4
float,512,512,512,-reorder,-a2av, ,-pencils,-r2c_dir 2,1024 1 1,1024 1 1,4,fftw,-272.858,167.3786883354187,theta-knl,1024,256,64,False,0.0,0.0,1.0,2,4
float,512,512,512,-reorder,-a2av,-p2p,-pencils,-r2c_dir 2,1024 1 1,1024 1 1,4,fftw,-194.7,170.3113555908203,theta-knl,1024,256,64,False,0.0,0.0,1.0,5,4
