,FLOPS,c0,elapsed_sec,gpu_enabled,libE_id,libE_workers,mpi_ranks,p0,p1x,p1y,p1z,p2,p3,p4,p5,p6,p7,p8,p9,ranks_per_node,threads_per_node
0,-765.373,cufft,339.5160105228424,True,4,4,8,float,256,256,256,-reorder,-a2a,-p2p_pl, ,-r2c_dir 1,2 1 4,4 2 1,2,4,64
1,-751.794,cufft,329.25561237335205,True,4,4,8,float,256,256,256,-reorder,-a2av,-p2p_pl, ,-r2c_dir 1,2 1 4,4 2 1,12,4,64
2,-749.558,cufft,264.4731776714325,True,3,4,8,float,256,256,256,-reorder, ,-p2p_pl,-pencils,-r2c_dir 1,2 1 4,4 2 1,2,4,64
3,-748.215,cufft,267.6852948665619,True,4,4,8,float,256,256,256,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 1,2 1 4,4 2 1,16,4,64
4,-747.816,cufft,239.1580731868744,True,4,4,8,float,256,256,256,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 1,2 1 4,4 2 1,12,4,64
5,-747.687,cufft,254.32497191429135,True,3,4,8,float,256,256,256,-reorder,-a2a,-p2p_pl, ,-r2c_dir 1,2 1 4,4 2 1,16,4,64
6,-741.677,cufft,257.5038838386536,True,3,4,8,float,256,256,256,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 1,2 1 4,4 2 1,2,4,64
7,-740.984,cufft,353.936203956604,True,3,4,8,float,256,256,256,-reorder,-a2av,-p2p_pl, ,-r2c_dir 1,2 1 4,4 2 1,2,4,64
8,-738.635,cufft,267.6829645633697,True,3,4,8,float,256,256,256,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 1,2 1 4,4 2 1,8,4,64
9,-738.59,cufft,277.9247953891754,True,3,4,8,float,256,256,256,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 1,2 1 4,4 2 1,2,4,64
10,-735.726,cufft,287.40954780578613,True,2,4,8,float,256,256,256,-reorder, ,-p2p_pl,-pencils,-r2c_dir 1,2 1 4,4 2 1,4,4,64
11,-735.606,cufft,314.910525560379,True,5,4,8,float,256,256,256,-reorder,-a2a,-p2p_pl, ,-r2c_dir 1,2 1 4,4 2 1,4,4,64
12,-732.948,cufft,357.1022844314575,True,2,4,8,float,256,256,256,-reorder,-a2av,-p2p_pl, ,-r2c_dir 1,2 1 4,4 2 1,16,4,64
13,-732.392,cufft,246.34916996955872,True,2,4,8,float,256,256,256,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 1,2 1 4,4 2 1,4,4,64
14,-730.191,cufft,323.04143238067627,True,5,4,8,float,256,256,256,-reorder,-a2av,-p2p_pl, ,-r2c_dir 1,2 1 4,4 2 1,8,4,64
15,-730.06,cufft,251.39107966423035,True,2,4,8,float,256,256,256,-reorder, ,-p2p_pl,-pencils,-r2c_dir 1,2 1 4,4 2 1,8,4,64
16,-728.613,cufft,248.2706310749054,True,2,4,8,float,256,256,256,-reorder,-a2a,-p2p_pl, ,-r2c_dir 1,2 1 4,4 2 1,8,4,64
17,-728.07,cufft,299.5626618862152,True,2,4,8,float,256,256,256,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 1,2 1 4,4 2 1,8,4,64
18,-727.985,cufft,360.2374475002289,True,3,4,8,float,256,256,256,-reorder,-a2av,-p2p_pl, ,-r2c_dir 1,2 1 4,4 2 1,4,4,64
19,-727.521,cufft,307.75222969055176,True,2,4,8,float,256,256,256,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 1,2 1 4,4 2 1,12,4,64
20,-727.475,cufft,404.83985900878906,True,2,4,8,float,256,256,256,-reorder,-a2a,-p2p_pl, ,-r2c_dir 1,2 1 4,4 2 1,12,4,64
21,-725.422,cufft,368.4854459762573,True,2,4,8,float,256,256,256,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 1,2 1 4,4 2 1,16,4,64
22,-725.34,cufft,262.55136227607727,True,4,4,8,float,256,256,256,-reorder, ,-p2p_pl,-pencils,-r2c_dir 1,2 1 4,4 2 1,16,4,64
23,-723.45,cufft,303.65281534194946,True,2,4,8,float,256,256,256,-reorder, ,-p2p_pl, ,-r2c_dir 1,2 1 4,4 2 1,8,4,64
24,-717.924,cufft,335.39562940597534,True,4,4,8,float,256,256,256,-reorder, ,-p2p_pl, ,-r2c_dir 1,2 1 4,4 2 1,16,4,64
25,-712.365,cufft,343.613627910614,True,4,4,8,float,256,256,256, ,-a2a,-p2p_pl, ,-r2c_dir 1,2 1 4,4 2 1,2,4,64
26,-711.781,cufft,243.2702603340149,True,2,4,8,float,256,256,256,-reorder, ,-p2p_pl,-pencils,-r2c_dir 1,2 1 4,4 2 1,12,4,64
27,-708.405,cufft,241.16656732559204,True,4,4,8,float,256,256,256,-no-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 1,2 1 4,4 2 1,4,4,64
28,-705.853,cufft,429.9508957862854,True,4,4,8,float,256,256,256, ,-a2a,-p2p_pl,-pencils,-r2c_dir 1,2 1 4,4 2 1,2,4,64
29,-705.076,cufft,337.4602108001709,True,4,4,8,float,256,256,256, , ,-p2p_pl, ,-r2c_dir 1,2 1 4,4 2 1,2,4,64
30,-704.224,cufft,407.91976714134216,True,3,4,8,float,256,256,256,-reorder, ,-p2p_pl, ,-r2c_dir 1,2 1 4,4 2 1,12,4,64
31,-702.847,cufft,221.14248752593997,True,4,4,8,float,256,256,256,-no-reorder,-a2av,-p2p_pl, ,-r2c_dir 1,2 1 4,4 2 1,2,4,64
32,-702.652,cufft,229.06144046783447,True,4,4,8,float,256,256,256,-no-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 1,2 1 4,4 2 1,2,4,64
33,-701.559,cufft,179.3440523147583,True,4,4,8,float,256,256,256,-no-reorder,-a2a,-p2p_pl, ,-r2c_dir 1,2 1 4,4 2 1,8,4,64
34,-699.835,cufft,272.79589343070984,True,3,4,8,float,256,256,256, , ,-p2p_pl,-pencils,-r2c_dir 1,2 1 4,4 2 1,2,4,64
35,-697.957,cufft,235.1626801490784,True,4,4,8,float,256,256,256, ,-a2a,-p2p_pl, ,-r2c_dir 1,2 1 4,4 2 1,4,4,64
36,-697.898,cufft,183.3657670021057,True,4,4,8,float,256,256,256,-no-reorder,-a2av,-p2p_pl, ,-r2c_dir 1,2 1 4,4 2 1,8,4,64
37,-697.017,cufft,232.98368191719052,True,4,4,8,float,256,256,256,-no-reorder, ,-p2p_pl,-pencils,-r2c_dir 1,2 1 4,4 2 1,16,4,64
38,-694.721,cufft,164.5391387939453,True,4,4,8,float,256,256,256,-no-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 1,2 1 4,4 2 1,12,4,64
39,-693.132,cufft,292.4337604045868,True,2,4,8,float,256,256,256,-no-reorder, ,-p2p_pl,-pencils,-r2c_dir 1,2 1 4,4 2 1,4,4,64
40,-692.895,cufft,168.51685070991516,True,4,4,8,float,256,256,256,-no-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 1,2 1 4,4 2 1,12,4,64
41,-691.631,cufft,401.6979422569275,True,3,4,8,float,256,256,256, ,-a2av,-p2p_pl, ,-r2c_dir 1,2 1 4,4 2 1,8,4,64
42,-691.624,cufft,259.3916041851044,True,3,4,8,float,256,256,256, ,-a2a,-p2p_pl, ,-r2c_dir 1,2 1 4,4 2 1,16,4,64
43,-691.063,cufft,404.8298265933991,True,3,4,8,float,256,256,256, , ,-p2p_pl,-pencils,-r2c_dir 1,2 1 4,4 2 1,4,4,64
44,-690.686,cufft,357.10331416130066,True,3,4,8,float,256,256,256,-no-reorder,-a2av,-p2p_pl, ,-r2c_dir 1,2 1 4,4 2 1,16,4,64
45,-690.41,cufft,277.9073398113251,True,4,4,8,float,256,256,256,-no-reorder,-a2av,-p2p_pl, ,-r2c_dir 1,2 1 4,4 2 1,4,4,64
46,-690.234,cufft,301.5884039402008,True,2,4,8,float,256,256,256,-no-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 1,2 1 4,4 2 1,8,4,64
47,-688.02,cufft,189.45189142227173,True,5,4,8,float,256,256,256,-no-reorder, ,-p2p_pl,-pencils,-r2c_dir 1,2 1 4,4 2 1,2,4,64
48,-685.517,cufft,193.4736535549164,True,5,4,8,float,256,256,256,-no-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 1,2 1 4,4 2 1,8,4,64
49,-684.859,cufft,162.71611762046814,True,2,4,8,float,256,256,256,-no-reorder, ,-p2p_pl,-pencils,-r2c_dir 1,2 1 4,4 2 1,12,4,64
50,-684.499,cufft,327.0514612197876,True,5,4,8,float,256,256,256,-no-reorder, ,-p2p_pl, ,-r2c_dir 1,2 1 4,4 2 1,8,4,64
51,-684.335,cufft,374.6551201343536,True,2,4,8,float,256,256,256, ,-a2av,-p2p_pl,-pencils,-r2c_dir 1,2 1 4,4 2 1,2,4,64
52,-684.309,cufft,398.5901508331299,True,2,4,8,float,256,256,256, , ,-p2p_pl,-pencils,-r2c_dir 1,2 1 4,4 2 1,16,4,64
53,-684.106,cufft,130.79822874069214,True,2,4,8,float,256,256,256,-no-reorder,-a2a,-p2p_pl, ,-r2c_dir 1,2 1 4,4 2 1,12,4,64
54,-681.21,cufft,345.7466974258423,True,2,4,8,float,256,256,256, , ,-p2p_pl, ,-r2c_dir 1,2 1 4,4 2 1,12,4,64
55,-681.003,cufft,197.48972034454343,True,5,4,8,float,256,256,256,-no-reorder, ,-p2p_pl, ,-r2c_dir 1,2 1 4,4 2 1,12,4,64
56,-680.661,cufft,348.8655045032501,True,2,4,8,float,256,256,256, ,-a2av,-p2p_pl, ,-r2c_dir 1,2 1 4,4 2 1,16,4,64
57,-679.257,cufft,360.21677231788635,True,2,4,8,float,256,256,256,-no-reorder,-a2a,-p2p_pl, ,-r2c_dir 1,2 1 4,4 2 1,4,4,64
58,-678.687,cufft,173.58487677574158,True,3,4,8,float,256,256,256,-no-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 1,2 1 4,4 2 1,4,4,64
59,-678.331,cufft,251.37937092781067,True,3,4,8,float,256,256,256, ,-a2a,-p2p_pl,-pencils,-r2c_dir 1,2 1 4,4 2 1,4,4,64
60,-678.321,cufft,370.5649881362915,True,2,4,8,float,256,256,256,-no-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 1,2 1 4,4 2 1,16,4,64
61,-677.91,cufft,269.6758894920349,True,3,4,8,float,256,256,256, , ,-p2p_pl, ,-r2c_dir 1,2 1 4,4 2 1,8,4,64
62,-676.738,cufft,401.7231895923615,True,2,4,8,float,256,256,256, ,-a2av,-p2p_pl,-pencils,-r2c_dir 1,2 1 4,4 2 1,12,4,64
63,-676.43,cufft,295.5625672340393,True,2,4,8,float,256,256,256, , ,-p2p_pl,-pencils,-r2c_dir 1,2 1 4,4 2 1,8,4,64
