p0,p1x,p1y,p1z,p2,p3,p4,p5,p6,p7,p8,p9,p7_float,p8_float,p9_float,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,libE_id,libE_workers
float,512,512,512,-reorder,-a2a,-p2p_pl,-pencils, ,2 2 2,4 2 1,16,0.4444444444444444,0.1111111111111111,1.0,cufft,-1434.21,47.606456995010376,polaris-gpu,8,64,4,True,3,4
float,512,512,512,-reorder,-a2a,-p2p_pl, ,-r2c_dir 0,2 2 2,8 1 1,16,0.4444444444444444,0.0,1.0,cufft,-1404.27,49.14097833633423,polaris-gpu,8,64,4,True,5,4
float,512,512,512,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 0,2 2 2,8 1 1,12,0.4444444444444444,0.0,0.75,cufft,-1393.64,50.75738096237183,polaris-gpu,8,64,4,True,3,4
float,512,512,512,-reorder, ,-p2p_pl,-pencils,-r2c_dir 0,2 2 2,8 1 1,12,0.4444444444444444,0.0,0.75,cufft,-1400.51,52.18910241127014,polaris-gpu,8,64,4,True,4,4
float,512,512,512,-reorder, ,-p2p_pl,-pencils, ,2 2 2,4 2 1,12,0.4444444444444444,0.1111111111111111,0.75,cufft,-1433.45,53.68845176696777,polaris-gpu,8,64,4,True,5,4
float,512,512,512,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 0,2 2 2,8 1 1,12,0.4444444444444444,0.0,0.75,cufft,-1398.9,55.33707284927368,polaris-gpu,8,64,4,True,3,4
float,512,512,512,-reorder, ,-p2p_pl, , ,2 2 2,4 2 1,12,0.4444444444444444,0.1111111111111111,0.75,cufft,-1441.28,56.81385850906372,polaris-gpu,8,64,4,True,4,4
float,512,512,512,-reorder,-a2a,-p2p_pl,-slabs,-r2c_dir 0,2 2 2,4 2 1,12,0.4444444444444444,0.1111111111111111,0.75,cufft,-1383.83,58.31974983215332,polaris-gpu,8,64,4,True,5,4
float,512,512,512,-reorder, ,-p2p_pl,-pencils, ,2 2 2,4 2 1,16,0.4444444444444444,0.1111111111111111,1.0,cufft,-1441.86,59.92496490478516,polaris-gpu,8,64,4,True,3,4
float,512,512,512,-reorder, ,-p2p,-pencils,-r2c_dir 0,2 2 2,4 2 1,16,0.4444444444444444,0.1111111111111111,1.0,cufft,-1363.47,61.3610200881958,polaris-gpu,8,64,4,True,4,4
float,512,512,512,-reorder, ,-p2p_pl,-pencils,-r2c_dir 0,2 2 2,8 1 1,12,0.4444444444444444,0.0,0.75,cufft,-1399.42,62.89068818092346,polaris-gpu,8,64,4,True,5,4
float,512,512,512,-reorder,-a2av,-p2p_pl,-pencils, ,2 2 2,4 2 1,12,0.4444444444444444,0.1111111111111111,0.75,cufft,-1444.27,64.35965895652771,polaris-gpu,8,64,4,True,2,4
float,512,512,512,-reorder,-a2av,-p2p_pl, , ,2 2 2,4 2 1,12,0.4444444444444444,0.1111111111111111,0.75,cufft,-1430.62,65.85287880897522,polaris-gpu,8,64,4,True,3,4
float,512,512,512,-reorder,-a2av,-p2p_pl,-pencils, ,2 2 2,4 2 1,16,0.4444444444444444,0.1111111111111111,1.0,cufft,-1444.87,67.18436908721924,polaris-gpu,8,64,4,True,4,4
float,512,512,512,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 0,2 2 2,8 1 1,16,0.4444444444444444,0.0,1.0,cufft,-1422.13,68.72010779380798,polaris-gpu,8,64,4,True,2,4
float,512,512,512,-reorder,-a2a,-p2p_pl, ,-r2c_dir 0,2 2 2,4 2 1,12,0.4444444444444444,0.1111111111111111,0.75,cufft,-1435.62,70.20175170898438,polaris-gpu,8,64,4,True,3,4
float,512,512,512,-reorder, ,-p2p_pl,-pencils, ,2 2 2,4 2 1,12,0.4444444444444444,0.1111111111111111,0.75,cufft,-1451.87,71.60848879814148,polaris-gpu,8,64,4,True,4,4
float,512,512,512,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 0,2 2 2,8 1 1,12,0.4444444444444444,0.0,0.75,cufft,-1411.97,73.20055103302002,polaris-gpu,8,64,4,True,2,4
float,512,512,512,-reorder,-a2av,-p2p_pl, , ,2 2 2,4 2 1,16,0.4444444444444444,0.1111111111111111,1.0,cufft,-1438.8,74.6144859790802,polaris-gpu,8,64,4,True,3,4
float,512,512,512,-reorder, ,-p2p_pl,-pencils,-r2c_dir 0,2 2 2,4 2 1,12,0.4444444444444444,0.1111111111111111,0.75,cufft,-1444.42,76.0553548336029,polaris-gpu,8,64,4,True,4,4
float,512,512,512,-reorder,-a2av,-p2p,-pencils,-r2c_dir 0,2 2 2,8 1 1,12,0.4444444444444444,0.0,0.75,cufft,-1030.35,77.63933181762695,polaris-gpu,8,64,4,True,2,4
float,512,512,512,-reorder,-a2a,-p2p_pl, ,-r2c_dir 0,2 2 2,4 2 1,12,0.4444444444444444,0.1111111111111111,0.75,cufft,-1432.05,79.0658528804779,polaris-gpu,8,64,4,True,3,4
float,512,512,512,-reorder,-a2av,-p2p_pl,-slabs,-r2c_dir 1,2 2 2,4 2 1,12,0.4444444444444444,0.1111111111111111,0.75,cufft,-1392.99,80.5351893901825,polaris-gpu,8,64,4,True,4,4
float,512,512,512,-reorder,-a2a,-p2p_pl,-pencils, ,2 2 2,8 1 1,16,0.4444444444444444,0.0,1.0,cufft,-1400.88,82.00594282150269,polaris-gpu,8,64,4,True,2,4
float,512,512,512,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 0,2 2 2,4 2 1,12,0.4444444444444444,0.1111111111111111,0.75,cufft,-1439.57,83.58442854881287,polaris-gpu,8,64,4,True,3,4
float,512,512,512,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 0,2 2 2,4 2 1,12,0.4444444444444444,0.1111111111111111,0.75,cufft,-1438.37,85.0352737903595,polaris-gpu,8,64,4,True,4,4
float,512,512,512,-reorder, ,-p2p_pl,-pencils,-r2c_dir 0,2 2 2,4 2 1,12,0.4444444444444444,0.1111111111111111,0.75,cufft,-1443.63,86.44482016563416,polaris-gpu,8,64,4,True,2,4
float,512,512,512,-reorder,-a2av,-p2p_pl, , ,2 2 2,4 2 1,16,0.4444444444444444,0.1111111111111111,1.0,cufft,-1442.24,87.98823189735413,polaris-gpu,8,64,4,True,3,4
float,512,512,512,-reorder,-a2av,-p2p_pl,-pencils, ,2 2 2,4 2 1,16,0.4444444444444444,0.1111111111111111,1.0,cufft,-1440.23,89.4189100265503,polaris-gpu,8,64,4,True,4,4
float,512,512,512,-reorder, ,-p2p_pl,-pencils,-r2c_dir 0,2 2 2,8 1 1,12,0.4444444444444444,0.0,0.75,cufft,-1396.23,90.95554876327516,polaris-gpu,8,64,4,True,2,4
float,512,512,512,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 0,2 2 2,4 2 1,16,0.4444444444444444,0.1111111111111111,1.0,cufft,-1432.06,92.4701602458954,polaris-gpu,8,64,4,True,3,4
