c0,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,mpi_ranks,FLOPS,elapsed_sec,identifier,threads_per_node,ranks_per_node,gpu_enabled,libE_id,libE_workers
fftw,float,256, ,-a2av,-p2p, ,-r2c_dir 0,0.4431765527844457,0.903018630879212,0.6645916412686997,512,-163.187,88.21391558647156,theta-knl,64,64,False,0,1
fftw,float,256,-no-reorder, , ,-pencils,-r2c_dir 1,0.0082445502522313,0.5156827553589598,0.5581624564804387,512,-169.711,95.205543756485,theta-knl,64,64,False,0,1
fftw,double,256,-no-reorder,-a2av,-p2p_pl,-slabs,-r2c_dir 2,0.8512034559116024,0.7126391404251164,0.1095291148160448,512,-29.6317,104.3799970149994,theta-knl,64,64,False,0,1
fftw,float,256,-reorder,-a2a,-p2p, , ,0.7042238148802102,0.6520444680022498,0.9339134786084288,512,-175.57,111.188307762146,theta-knl,64,64,False,0,1
fftw,float,256,-no-reorder,-a2a, ,-pencils,-r2c_dir 0,0.1152543899340284,0.2660136913633746,0.404958626667385,512,-30.2106,119.14003705978394,theta-knl,64,64,False,0,1
fftw,double,256, ,-a2a, ,-slabs,-r2c_dir 1,0.3497881044938829,0.1893082779761565,0.0563232117414323,512,-43.4288,126.34134364128111,theta-knl,64,64,False,0,1
fftw,float,256,-reorder, ,-p2p,-slabs, ,0.2304244190751457,0.0090993403255857,0.8785213324356352,512,1.0,132.7361512184143,theta-knl,64,64,False,0,1
fftw,double,256,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 1,0.9208349944805646,0.2769237897389828,0.3329604227410734,512,-97.9931,139.9125304222107,theta-knl,64,64,False,0,1
fftw,double,256,-no-reorder,-a2a,-p2p,-slabs,-r2c_dir 2,0.9440300782175364,0.8495464777519586,0.5063547499619286,512,-24.3162,148.46885800361633,theta-knl,64,64,False,0,1
fftw,float,256, , , , ,-r2c_dir 0,0.7675504790211404,0.4467634761318066,0.397011408915577,512,-211.871,155.4154815673828,theta-knl,64,64,False,0,1
fftw,double,256, ,-a2a,-p2p,-slabs, ,0.142364767689959,0.5889513439642188,0.2127978356200857,512,-31.2055,163.19123578071594,theta-knl,64,64,False,0,1
fftw,double,256,-reorder,-a2av, ,-pencils, ,0.5165126417854197,0.9414949802936912,0.8212940605397688,512,-101.084,170.50185418128967,theta-knl,64,64,False,0,1
fftw,float,256, , ,-p2p_pl,-pencils,-r2c_dir 2,0.578229940007258,0.7576196437861129,0.75102341679286,512,-196.21,177.559148311615,theta-knl,64,64,False,0,1
fftw,double,256,-no-reorder, ,-p2p_pl, ,-r2c_dir 1,0.2827331856120507,0.3523846965525666,0.7179001305067431,512,-97.4117,185.01483249664307,theta-knl,64,64,False,0,1
fftw,float,256,-reorder,-a2av,-p2p_pl, ,-r2c_dir 2,0.6435532973436361,0.1143191593265327,0.1591903618802829,512,-194.884,192.0392324924469,theta-knl,64,64,False,0,1
fftw,float,256,-reorder, , , ,-r2c_dir 2,0.9793559851882406,0.8423145325225766,0.1922340491842986,512,-182.856,385.5789506435394,theta-knl,64,64,False,0,1
fftw,float,256,-reorder,-a2av, ,-slabs,-r2c_dir 0,0.9012684928470368,0.9008377578159722,0.9902303621432528,512,-84.6568,504.6099457740784,theta-knl,64,64,False,0,1
fftw,float,256,-reorder, , , ,-r2c_dir 0,0.8272826423089557,0.4286821885871233,0.718465899779878,512,-194.421,595.4731550216675,theta-knl,64,64,False,0,1
fftw,float,256,-reorder,-a2a,-p2p,-pencils,-r2c_dir 2,0.7802940879693002,0.616167728782188,0.3377647845995935,512,-200.816,723.8578135967255,theta-knl,64,64,False,0,1
fftw,float,256, ,-a2av, ,-slabs,-r2c_dir 2,0.9594756253971028,0.0566437468123474,0.8869568019003401,512,1.0,836.0241277217865,theta-knl,64,64,False,0,1
fftw,float,256, , , , ,-r2c_dir 0,0.9567128329099684,0.1663640806693147,0.7424259036884837,512,-278.768,988.2225375175476,theta-knl,64,64,False,0,1
fftw,float,256,-reorder,-a2av,-p2p,-pencils,-r2c_dir 0,0.2211147279936543,0.2671087440739829,0.456530524366013,512,-121.394,1085.172556400299,theta-knl,64,64,False,0,1
fftw,float,256,-reorder, , ,-pencils, ,0.7654157288892502,0.8694943917471847,0.7556348965941105,512,-213.283,1197.0357224941254,theta-knl,64,64,False,0,1
fftw,float,256, ,-a2av,-p2p,-pencils,-r2c_dir 2,0.157261975654884,0.2127322777782455,0.3043782998183396,512,-164.233,1328.5284700393677,theta-knl,64,64,False,0,1
fftw,float,256,-no-reorder, ,-p2p,-pencils,-r2c_dir 2,0.9671639693336236,0.6657067896713219,0.6716080807307473,512,-152.255,1437.695723772049,theta-knl,64,64,False,0,1
fftw,float,256,-reorder,-a2av,-p2p,-pencils,-r2c_dir 2,0.6897321482658315,0.5065763383975571,0.554336202326817,512,-184.993,1534.7111542224884,theta-knl,64,64,False,0,1
fftw,float,256,-reorder,-a2a, ,-pencils,-r2c_dir 2,0.5928187832965293,0.567020335638839,0.0929662888483866,512,-56.5815,1665.5834069252014,theta-knl,64,64,False,0,1
fftw,float,256,-reorder,-a2av,-p2p_pl,-slabs,-r2c_dir 2,0.7017855511857224,0.5266005128956227,0.1531677759275072,512,-69.9768,1777.769134759903,theta-knl,64,64,False,0,1
fftw,float,256,-reorder,-a2a, ,-slabs,-r2c_dir 2,0.5509807839070578,0.2619310056817502,0.6483706995398243,512,-35.4774,1897.1061289310453,theta-knl,64,64,False,0,1
fftw,float,256,-reorder, , ,-pencils,-r2c_dir 2,0.29050196291042424,0.3905228466915175,0.526348735016293,512,-191.781,2033.2917311191559,theta-knl,64,64,False,0,1
