p0,p1x,p1y,p1z,p2,p3,p4,p5,p6,p7,p8,p9,p7_float,p8_float,p9_float,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,libE_id,libE_workers
float,256,256,256,-reorder,-a2a, , ,-r2c_dir 1,4 1 1,1 2 2,4,0.0,0.8,0.25,cufft,-1086.78,7.457937479019165,polaris-gpu,4,64,4,True,2,4
float,256,256,256, ,-a2a, ,-slabs,-r2c_dir 1,4 1 1,1 2 2,8,0.0,0.8,0.5,cufft,-608.14,7.463157892227173,polaris-gpu,4,64,4,True,3,4
double,256,256,256,-reorder,-a2a, ,-pencils, ,4 1 1,1 2 2,2,0.0,0.8,0.0,cufft,-453.21,7.780837535858154,polaris-gpu,4,64,4,True,4,4
double,256,256,256,-reorder,-a2a, ,-pencils,-r2c_dir 1,4 1 1,1 2 2,2,0.0,0.8,0.0,cufft,-881.395,7.496031761169434,polaris-gpu,4,64,4,True,5,4
float,256,256,256,-reorder,-a2av, , ,-r2c_dir 1,4 1 1,2 2 1,4,0.0,0.2,0.25,cufft,-299.4,10.937514066696169,polaris-gpu,4,64,4,True,2,4
float,256,256,256,-reorder,-a2a, , ,-r2c_dir 1,4 1 1,1 2 2,8,0.0,0.8,0.5,cufft,-1078.94,13.6460440158844,polaris-gpu,4,64,4,True,2,4
double,256,256,256,-reorder,-a2a, , ,-r2c_dir 1,4 1 1,1 2 2,2,0.0,0.8,0.0,cufft,-886.15,13.68480110168457,polaris-gpu,4,64,4,True,3,4
double,256,256,256,-reorder,-a2a,-p2p, ,-r2c_dir 1,4 1 1,1 2 2,16,0.0,0.8,1.0,cufft,-760.151,13.636738538742064,polaris-gpu,4,64,4,True,4,4
float,256,256,256,-reorder,-a2a,-p2p_pl, , ,4 1 1,1 2 2,12,0.0,0.8,0.75,cufft,-620.268,15.078351736068726,polaris-gpu,4,64,4,True,5,4
double,256,256,256,-reorder,-a2a,-p2p_pl,-slabs,-r2c_dir 1,4 1 1,1 2 2,12,0.0,0.8,0.75,cufft,-913.668,16.961143016815186,polaris-gpu,4,64,4,True,2,4
float,256,256,256,-reorder,-a2a, , ,-r2c_dir 1,4 1 1,1 2 2,4,0.0,0.8,0.25,cufft,-1081.82,19.109735250473022,polaris-gpu,4,64,4,True,2,4
float,256,256,256,-reorder,-a2a, ,-pencils,-r2c_dir 1,4 1 1,2 2 1,2,0.0,0.2,0.0,cufft,-889.914,19.15576267242432,polaris-gpu,4,64,4,True,3,4
float,256,256,256, ,-a2a, ,-pencils,-r2c_dir 1,4 1 1,1 2 2,2,0.0,0.8,0.0,cufft,-625.22,21.258464336395264,polaris-gpu,4,64,4,True,2,4
float,256,256,256,-reorder,-a2a, , ,-r2c_dir 1,4 1 1,1 2 2,8,0.0,0.8,0.5,cufft,-1051.58,21.27074694633484,polaris-gpu,4,64,4,True,3,4
double,256,256,256,-reorder,-a2a,-p2p, ,-r2c_dir 1,4 1 1,2 2 1,4,0.0,0.2,0.25,cufft,-685.305,23.43225908279419,polaris-gpu,4,64,4,True,2,4
float,256,256,256,-reorder,-a2a, , ,-r2c_dir 1,4 1 1,2 2 1,2,0.0,0.2,0.0,cufft,-879.606,23.432945251464844,polaris-gpu,4,64,4,True,3,4
float,256,256,256,-reorder,-a2a, ,-pencils,-r2c_dir 1,4 1 1,2 2 1,12,0.0,0.2,0.75,cufft,-899.617,25.61580300331116,polaris-gpu,4,64,4,True,2,4
float,256,256,256,-reorder,-a2a, ,-slabs,-r2c_dir 2,4 1 1,1 2 2,4,0.0,0.8,0.25,cufft,-1054.83,25.55061912536621,polaris-gpu,4,64,4,True,3,4
float,256,256,256,-reorder,-a2a, , ,-r2c_dir 1,4 1 1,1 2 2,2,0.0,0.8,0.0,cufft,-1099.2,27.774937629699707,polaris-gpu,4,64,4,True,2,4
float,256,256,256, ,-a2a, ,-pencils,-r2c_dir 1,4 1 1,2 2 1,8,0.0,0.2,0.5,cufft,-547.211,27.76400136947632,polaris-gpu,4,64,4,True,3,4
double,256,256,256,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 1,4 1 1,1 2 2,8,0.0,0.8,0.5,cufft,-893.323,29.935441732406616,polaris-gpu,4,64,4,True,2,4
double,256,256,256,-reorder,-a2a, , ,-r2c_dir 1,4 1 1,1 2 2,12,0.0,0.8,0.75,cufft,-881.058,29.935176849365234,polaris-gpu,4,64,4,True,3,4
float,256,256,256,-reorder,-a2a, , , ,4 1 1,1 2 2,4,0.0,0.8,0.25,cufft,-583.388,32.10883903503418,polaris-gpu,4,64,4,True,2,4
float,256,256,256, ,-a2a, , ,-r2c_dir 1,4 1 1,1 2 2,2,0.0,0.8,0.0,cufft,-617.411,32.13934087753296,polaris-gpu,4,64,4,True,3,4
float,256,256,256,-no-reorder,-a2a,-p2p_pl, ,-r2c_dir 1,4 1 1,1 2 2,4,0.0,0.8,0.25,cufft,-628.599,34.28363943099976,polaris-gpu,4,64,4,True,2,4
double,256,256,256,-reorder,-a2a, ,-pencils,-r2c_dir 1,4 1 1,1 2 2,2,0.0,0.8,0.0,cufft,-881.71,34.280043840408325,polaris-gpu,4,64,4,True,3,4
float,256,256,256,-reorder,-a2a,-p2p,-pencils,-r2c_dir 1,4 1 1,1 2 2,4,0.0,0.8,0.25,cufft,-958.472,36.37590050697327,polaris-gpu,4,64,4,True,2,4
double,256,256,256,-reorder,-a2a,-p2p_pl, ,-r2c_dir 0,4 1 1,1 2 2,4,0.0,0.8,0.25,cufft,-478.774,36.430182456970215,polaris-gpu,4,64,4,True,3,4
float,256,256,256,-no-reorder,-a2a, , ,-r2c_dir 1,4 1 1,1 2 2,4,0.0,0.8,0.25,cufft,-627.174,38.59218215942383,polaris-gpu,4,64,4,True,2,4
float,256,256,256,-reorder,-a2a,-p2p_pl, ,-r2c_dir 1,4 1 1,1 2 2,4,0.0,0.8,0.25,cufft,-1078.1,38.54078555107117,polaris-gpu,4,64,4,True,3,4
double,256,256,256,-reorder,-a2a, , ,-r2c_dir 0,4 1 1,1 2 2,2,0.0,0.8,0.0,cufft,-453.762,40.74886441230774,polaris-gpu,4,64,4,True,2,4
float,256,256,256,-reorder,-a2a, , ,-r2c_dir 1,4 1 1,4 1 1,4,0.0,0.0,0.25,cufft,-782.661,40.80660820007324,polaris-gpu,4,64,4,True,3,4
float,256,256,256,-reorder,-a2a,-p2p, ,-r2c_dir 1,4 1 1,2 2 1,2,0.0,0.2,0.0,cufft,-843.721,42.95511412620544,polaris-gpu,4,64,4,True,2,4
float,256,256,256,-reorder,-a2a,-p2p,-pencils,-r2c_dir 2,4 1 1,1 2 2,4,0.0,0.8,0.25,cufft,-978.087,42.95857763290405,polaris-gpu,4,64,4,True,3,4
float,256,256,256,-reorder,-a2a,-p2p_pl, ,-r2c_dir 1,4 1 1,1 2 2,4,0.0,0.8,0.25,cufft,-1101.14,45.10914468765259,polaris-gpu,4,64,4,True,2,4
float,256,256,256,-reorder,-a2a, ,-slabs,-r2c_dir 1,4 1 1,1 2 2,4,0.0,0.8,0.25,cufft,-1051.17,45.12992262840271,polaris-gpu,4,64,4,True,3,4
