p0,p1x,p1y,p1z,p2,p3,p4,p5,p6,p7,p8,p9,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,p7_float,p8_float,p9_float,libE_id,libE_workers
double,128,128,128,-reorder,-a2a,-p2p,-pencils,-r2c_dir 1,16 1 1,16 1 1,8,cufft,-29.9367,45.78243613243103,polaris-gpu,16,64,4,True,0.0,0.0,0.5,3,4
double,128,128,128,-reorder, , ,-pencils,-r2c_dir 1,16 1 1,16 1 1,8,cufft,-43.38,46.92891526222229,polaris-gpu,16,64,4,True,0.0,0.0,0.5,4,4
double,128,128,128, ,-a2a, ,-pencils,-r2c_dir 1,16 1 1,16 1 1,2,cufft,-47.5753,48.23651051521301,polaris-gpu,16,64,4,True,0.0,0.0,0.0,3,4
double,128,128,128, ,-a2a, ,-slabs,-r2c_dir 1,16 1 1,16 1 1,8,cufft,1.0,49.72678089141846,polaris-gpu,16,64,4,True,0.0,0.0,0.5,2,4
double,128,128,128,-reorder,-a2a, ,-pencils,-r2c_dir 2,16 1 1,16 1 1,2,cufft,-62.148,51.0475435256958,polaris-gpu,16,64,4,True,0.0,0.0,0.0,3,4
double,128,128,128,-reorder,-a2a, , ,-r2c_dir 1,16 1 1,16 1 1,12,cufft,-58.6706,54.23262548446655,polaris-gpu,16,64,4,True,0.0,0.0,0.75,4,4
double,128,128,128,-reorder,-a2a, , ,-r2c_dir 1,16 1 1,16 1 1,16,cufft,-60.0734,54.25152611732483,polaris-gpu,16,64,4,True,0.0,0.0,1.0,3,4
double,128,128,128,-reorder,-a2a, ,-pencils, ,16 1 1,16 1 1,2,cufft,-37.569,55.72727847099304,polaris-gpu,16,64,4,True,0.0,0.0,0.0,5,4
double,128,128,128,-reorder,-a2a, ,-slabs,-r2c_dir 0,16 1 1,16 1 1,2,cufft,-39.3385,57.55239677429199,polaris-gpu,16,64,4,True,0.0,0.0,0.0,3,4
double,128,128,128,-reorder,-a2a, , ,-r2c_dir 2,16 1 1,16 1 1,12,cufft,-58.5017,58.7400586605072,polaris-gpu,16,64,4,True,0.0,0.0,0.75,4,4
double,128,128,128,-reorder,-a2a, ,-pencils,-r2c_dir 2,16 1 1,16 1 1,16,cufft,-60.2014,60.19865679740906,polaris-gpu,16,64,4,True,0.0,0.0,1.0,3,4
