p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p7_float,p8_float,p9_float,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,libE_id,libE_workers
double,1400, ,-a2a,-p2p_pl, ,-r2c_dir 0,4 4 8,128 1 1,4,0.5142857142857142,0.0,1.0,fftw,-78.7842,134.05435585975647,theta-knl,128,256,64,False,2,4
float,1400, ,-a2a,-p2p_pl, , ,4 4 8,64 2 1,4,0.5142857142857142,0.02857142857142857,1.0,fftw,-152.884,89.96241593360901,theta-knl,128,256,64,False,3,4
float,1400, ,-a2a,-p2p_pl, ,-r2c_dir 0,4 4 8,8 4 4,4,0.5142857142857142,0.34285714285714286,1.0,fftw,-117.93,99.55635023117064,theta-knl,128,256,64,False,4,4
float,1400, ,-a2av,-p2p_pl,-slabs,-r2c_dir 0,4 4 8,64 2 1,2,0.5142857142857142,0.02857142857142857,0.0,fftw,-155.082,90.50949501991272,theta-knl,128,256,64,False,5,4
float,1400, ,-a2a,-p2p_pl,-pencils,-r2c_dir 2,4 4 8,32 2 2,2,0.5142857142857142,0.11428571428571428,0.0,fftw,-97.6481,168.66010093688965,theta-knl,128,256,64,False,3,4
float,1400, ,-a2av,-p2p_pl,-slabs,-r2c_dir 0,8 4 4,32 4 1,4,0.34285714285714286,0.08571428571428572,1.0,fftw,-149.927,162.20402073860168,theta-knl,128,256,64,False,4,4
float,1400, ,-a2av,-p2p_pl,-pencils,-r2c_dir 0,8 4 4,32 4 1,2,0.34285714285714286,0.08571428571428572,0.0,fftw,-143.908,170.0608196258545,theta-knl,128,256,64,False,5,4
float,1400, ,-a2av,-p2p_pl,-pencils, ,4 4 8,32 4 1,4,0.5142857142857142,0.08571428571428572,1.0,fftw,-156.755,198.85421013832087,theta-knl,128,256,64,False,2,4
float,1400, ,-a2av,-p2p_pl,-slabs, ,8 8 2,32 4 1,2,0.3142857142857143,0.08571428571428572,0.0,fftw,-151.31,229.07265067100525,theta-knl,128,256,64,False,3,4
float,1400, , ,-p2p_pl,-pencils,-r2c_dir 0,8 4 4,32 4 1,4,0.34285714285714286,0.08571428571428572,1.0,fftw,-163.705,239.15422463417053,theta-knl,128,256,64,False,4,4
float,1400, ,-a2av,-p2p_pl, ,-r2c_dir 0,4 4 8,32 4 1,4,0.5142857142857142,0.08571428571428572,1.0,fftw,-142.501,243.80552411079407,theta-knl,128,256,64,False,5,4
float,1400, , ,-p2p_pl,-pencils,-r2c_dir 1,4 4 8,32 4 1,4,0.5142857142857142,0.08571428571428572,1.0,fftw,-143.552,270.26259875297546,theta-knl,128,256,64,False,2,4
float,1400, ,-a2av,-p2p_pl,-pencils, ,4 4 8,32 4 1,4,0.5142857142857142,0.08571428571428572,1.0,fftw,-150.879,292.45389342308044,theta-knl,128,256,64,False,3,4
float,1400, , ,-p2p_pl,-pencils, ,8 4 4,32 4 1,4,0.34285714285714286,0.08571428571428572,1.0,fftw,-155.103,301.4087612628937,theta-knl,128,256,64,False,4,4
float,1400, ,-a2a,-p2p_pl, , ,8 8 2,32 4 1,4,0.3142857142857143,0.08571428571428572,1.0,fftw,-143.854,313.9044463634491,theta-knl,128,256,64,False,5,4
double,1400, ,-a2a,-p2p_pl,-pencils, ,8 4 4,32 4 1,2,0.34285714285714286,0.08571428571428572,0.0,fftw,-80.8545,377.3542034626007,theta-knl,128,256,64,False,2,4
float,1400, ,-a2av,-p2p_pl,-slabs, ,8 4 4,32 4 1,4,0.34285714285714286,0.08571428571428572,1.0,fftw,-147.511,357.3569576740265,theta-knl,128,256,64,False,3,4
float,1400, ,-a2a,-p2p_pl,-pencils,-r2c_dir 0,16 4 2,32 4 1,4,0.2,0.08571428571428572,1.0,fftw,-138.53,368.60443806648254,theta-knl,128,256,64,False,4,4
float,1400, ,-a2a,-p2p_pl,-pencils,-r2c_dir 0,8 4 4,32 4 1,4,0.34285714285714286,0.08571428571428572,1.0,fftw,-156.212,375.9547786712647,theta-knl,128,256,64,False,5,4
float,1400, , ,-p2p_pl,-pencils,-r2c_dir 0,8 8 2,32 4 1,4,0.3142857142857143,0.08571428571428572,1.0,fftw,-141.935,424.4544243812561,theta-knl,128,256,64,False,3,4
float,1400, ,-a2av,-p2p_pl,-slabs, ,8 4 4,32 4 1,2,0.34285714285714286,0.08571428571428572,0.0,fftw,-142.432,436.5554537773132,theta-knl,128,256,64,False,2,4
float,1400, ,-a2av,-p2p_pl, , ,4 4 8,64 2 1,4,0.5142857142857142,0.02857142857142857,1.0,fftw,-156.072,445.30684638023376,theta-knl,128,256,64,False,4,4
float,1400, ,-a2av,-p2p_pl,-slabs,-r2c_dir 1,32 2 2,32 4 1,2,0.11428571428571428,0.08571428571428572,0.0,fftw,-144.944,448.85410046577454,theta-knl,128,256,64,False,5,4
float,1400, ,-a2av,-p2p_pl, ,-r2c_dir 0,4 4 8,128 1 1,2,0.5142857142857142,0.0,0.0,fftw,-156.323,489.2547655105591,theta-knl,128,256,64,False,3,4
float,1400, ,-a2av,-p2p_pl, ,-r2c_dir 0,16 4 2,32 4 1,4,0.2,0.08571428571428572,1.0,fftw,-145.221,505.70426845550537,theta-knl,128,256,64,False,2,4
float,1400, ,-a2a,-p2p_pl,-pencils,-r2c_dir 0,4 4 8,64 2 1,2,0.5142857142857142,0.02857142857142857,0.0,fftw,-148.708,517.6549997329712,theta-knl,128,256,64,False,4,4
float,1400, ,-a2a,-p2p_pl, , ,4 4 8,128 1 1,2,0.5142857142857142,0.0,0.0,fftw,-152.277,516.8680057525635,theta-knl,128,256,64,False,5,4
float,1400, , ,-p2p_pl,-pencils, ,4 4 8,64 2 1,2,0.5142857142857142,0.02857142857142857,0.0,fftw,-156.117,556.0539300441742,theta-knl,128,256,64,False,3,4
float,1400, ,-a2a,-p2p_pl, ,-r2c_dir 0,8 4 4,128 1 1,2,0.34285714285714286,0.0,0.0,fftw,-156.497,570.1542296409607,theta-knl,128,256,64,False,2,4
float,1400, ,-a2av,-p2p_pl,-pencils, ,32 4 1,128 1 1,2,0.08571428571428572,0.0,0.0,fftw,-154.878,580.2543299198151,theta-knl,128,256,64,False,4,4
float,1400, , ,-p2p_pl, , ,4 4 8,128 1 1,2,0.5142857142857142,0.0,0.0,fftw,-149.308,588.8540594577789,theta-knl,128,256,64,False,5,4
float,1400, ,-a2av,-p2p_pl, , ,4 4 8,32 4 1,2,0.5142857142857142,0.08571428571428572,0.0,fftw,-149.219,620.0637595653534,theta-knl,128,256,64,False,3,4
float,1400, ,-a2a,-p2p_pl, ,-r2c_dir 0,8 4 4,128 1 1,2,0.34285714285714286,0.0,0.0,fftw,-152.959,638.4063763618469,theta-knl,128,256,64,False,2,4
float,1400, ,-a2av,-p2p_pl, , ,4 4 8,32 4 1,2,0.5142857142857142,0.08571428571428572,0.0,fftw,-157.813,645.5044257640839,theta-knl,128,256,64,False,4,4
float,1400, ,-a2a,-p2p_pl, , ,4 4 8,32 4 1,2,0.5142857142857142,0.08571428571428572,0.0,fftw,-150.639,656.4575440883636,theta-knl,128,256,64,False,5,4
float,1400, ,-a2av,-p2p_pl, , ,8 4 4,128 1 1,2,0.34285714285714286,0.0,0.0,fftw,-144.614,685.3540978431702,theta-knl,128,256,64,False,3,4
float,1400, ,-a2a,-p2p_pl, , ,8 4 4,64 2 1,2,0.34285714285714286,0.02857142857142857,0.0,fftw,-156.168,700.5542061328888,theta-knl,128,256,64,False,2,4
float,1400, ,-a2a,-p2p_pl,-pencils, ,8 4 4,32 4 1,4,0.34285714285714286,0.08571428571428572,1.0,fftw,-151.505,709.6048264503479,theta-knl,128,256,64,False,4,4
float,1400, ,-a2a,-p2p_pl,-slabs,-r2c_dir 0,8 4 4,128 1 1,2,0.34285714285714286,0.0,0.0,fftw,-150.539,720.4577295780182,theta-knl,128,256,64,False,5,4
float,1400, ,-a2av,-p2p_pl, ,-r2c_dir 0,8 4 4,64 2 1,4,0.34285714285714286,0.02857142857142857,1.0,fftw,-160.087,750.0540599822998,theta-knl,128,256,64,False,3,4
float,1400, ,-a2av,-p2p_pl, ,-r2c_dir 0,8 8 2,32 4 1,2,0.3142857142857143,0.08571428571428572,0.0,fftw,-159.804,762.4561622142792,theta-knl,128,256,64,False,2,4
float,1400, ,-a2a,-p2p_pl, ,-r2c_dir 0,8 4 4,64 2 1,4,0.34285714285714286,0.02857142857142857,1.0,fftw,-156.358,774.9562628269196,theta-knl,128,256,64,False,4,4
float,1400, ,-a2a,-p2p_pl,-pencils,-r2c_dir 0,8 8 2,64 2 1,4,0.3142857142857143,0.02857142857142857,1.0,fftw,-153.245,785.5540504455566,theta-knl,128,256,64,False,5,4
float,1400, , ,-p2p_pl, ,-r2c_dir 0,8 4 4,128 1 1,2,0.34285714285714286,0.0,0.0,fftw,-153.238,813.0546822547913,theta-knl,128,256,64,False,3,4
float,1400, , ,-p2p_pl, ,-r2c_dir 0,4 4 8,64 2 1,4,0.5142857142857142,0.02857142857142857,1.0,fftw,-154.757,827.8547284603119,theta-knl,128,256,64,False,2,4
float,1400, ,-a2a,-p2p_pl, ,-r2c_dir 0,8 4 4,64 2 1,4,0.34285714285714286,0.02857142857142857,1.0,fftw,-151.133,840.356817483902,theta-knl,128,256,64,False,4,4
float,1400, ,-a2a,-p2p_pl,-pencils,-r2c_dir 0,4 4 8,128 1 1,4,0.5142857142857142,0.0,1.0,fftw,-154.495,851.254848241806,theta-knl,128,256,64,False,5,4
float,1400, ,-a2a,-p2p_pl,-pencils,-r2c_dir 0,4 4 8,32 4 1,4,0.5142857142857142,0.08571428571428572,1.0,fftw,-155.33,875.3636236190796,theta-knl,128,256,64,False,3,4
float,1400, ,-a2a,-p2p_pl, , ,4 4 8,128 1 1,4,0.5142857142857142,0.0,1.0,fftw,-151.937,892.4171216487885,theta-knl,128,256,64,False,2,4
float,1400, ,-a2a,-p2p_pl,-pencils,-r2c_dir 0,4 4 8,128 1 1,2,0.5142857142857142,0.0,0.0,fftw,-141.958,906.6070237159728,theta-knl,128,256,64,False,4,4
float,1400, , ,-p2p_pl,-pencils,-r2c_dir 0,4 4 8,64 2 1,2,0.5142857142857142,0.02857142857142857,0.0,fftw,-149.939,915.754088640213,theta-knl,128,256,64,False,5,4
float,1400, ,-a2a,-p2p_pl,-pencils, ,4 4 8,32 4 1,4,0.5142857142857142,0.08571428571428572,1.0,fftw,-158.239,937.9544541835784,theta-knl,128,256,64,False,3,4
float,1400, , ,-p2p_pl,-slabs, ,16 4 2,64 2 1,2,0.2,0.02857142857142857,0.0,fftw,-150.657,959.0545456409454,theta-knl,128,256,64,False,2,4
float,1400, ,-a2a,-p2p_pl, , ,4 4 8,32 4 1,2,0.5142857142857142,0.08571428571428572,0.0,fftw,-147.873,970.954160451889,theta-knl,128,256,64,False,4,4
float,1400, , ,-p2p_pl,-pencils,-r2c_dir 0,8 8 2,64 2 1,4,0.3142857142857143,0.02857142857142857,1.0,fftw,-158.926,979.4539868831636,theta-knl,128,256,64,False,5,4
float,1400, ,-a2a,-p2p_pl, , ,8 8 2,64 2 1,2,0.3142857142857143,0.02857142857142857,0.0,fftw,-159.641,1002.860508441925,theta-knl,128,256,64,False,3,4
float,1400, , ,-p2p_pl, ,-r2c_dir 0,4 4 8,32 4 1,4,0.5142857142857142,0.08571428571428572,1.0,fftw,-147.567,1025.660940170288,theta-knl,128,256,64,False,2,4
float,1400, ,-a2av,-p2p_pl,-pencils, ,8 8 2,64 2 1,4,0.3142857142857143,0.02857142857142857,1.0,fftw,-168.314,1031.654636144638,theta-knl,128,256,64,False,4,4
float,1400, ,-a2a,-p2p_pl, , ,8 8 2,32 4 1,4,0.3142857142857143,0.08571428571428572,1.0,fftw,-145.863,1046.65424823761,theta-knl,128,256,64,False,5,4
float,1400, ,-a2av,-p2p_pl,-pencils, ,8 8 2,32 4 1,4,0.3142857142857143,0.08571428571428572,1.0,fftw,-155.09,1067.4047813415527,theta-knl,128,256,64,False,3,4
