p0,p1x,p1y,p1z,p2,p3,p4,p5,p6,p7,p8,p9,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,p7_float,p8_float,p9_float,libE_id,libE_workers
float,64,64,64,-no-reorder, , , ,-r2c_dir 1,8 1 1,8 1 1,4,cufft,-13.7361,10.274258852005005,polaris-gpu,8,64,4,True,0.0,0.0,0.25,3,4
float,64,64,64,-reorder,-a2av,-p2p,-slabs,-r2c_dir 2,8 1 1,8 1 1,2,cufft,-12.9182,10.77039885520935,polaris-gpu,8,64,4,True,0.0,0.0,0.0,4,4
float,64,64,64, , , , , ,8 1 1,8 1 1,16,cufft,-10.7556,11.364179611206055,polaris-gpu,8,64,4,True,0.0,0.0,1.0,2,4
double,64,64,64,-no-reorder, , ,-pencils, ,8 1 1,8 1 1,2,cufft,-8.04948,12.507531642913818,polaris-gpu,8,64,4,True,0.0,0.0,0.0,3,4
float,64,64,64,-no-reorder,-a2a,-p2p_pl, ,-r2c_dir 2,8 1 1,8 1 1,8,cufft,-15.5565,15.726428270339966,polaris-gpu,8,64,4,True,0.0,0.0,0.5,3,4
float,64,64,64,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 1,8 1 1,8 1 1,8,cufft,-15.2642,17.67611336708069,polaris-gpu,8,64,4,True,0.0,0.0,0.5,3,4
float,64,64,64,-no-reorder,-a2av, , ,-r2c_dir 2,8 1 1,8 1 1,8,cufft,-11.4086,19.0810809135437,polaris-gpu,8,64,4,True,0.0,0.0,0.5,5,4
float,64,64,64,-no-reorder,-a2a,-p2p, ,-r2c_dir 1,8 1 1,8 1 1,8,cufft,-9.19252,20.76876211166382,polaris-gpu,8,64,4,True,0.0,0.0,0.5,3,4
float,64,64,64,-reorder,-a2a,-p2p_pl,-slabs,-r2c_dir 2,8 1 1,8 1 1,8,cufft,-16.6822,22.11016845703125,polaris-gpu,8,64,4,True,0.0,0.0,0.5,5,4
float,64,64,64, ,-a2a,-p2p_pl, ,-r2c_dir 1,8 1 1,8 1 1,8,cufft,-9.36064,24.00319242477417,polaris-gpu,8,64,4,True,0.0,0.0,0.5,3,4
float,64,64,64,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 2,8 1 1,8 1 1,8,cufft,-16.6957,25.045778036117554,polaris-gpu,8,64,4,True,0.0,0.0,0.5,5,4
