p0,p1x,p1y,p1z,p2,p3,p4,p5,p6,p7,p8,p9,p7_float,p8_float,p9_float,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,libE_id,libE_workers
double,64,64,64,-reorder, ,-p2p_pl,-pencils,-r2c_dir 1,4 4 2,2 4 4,8,0.35,0.6,0.5,cufft,-8.0209,7.291168212890625,polaris-gpu,32,64,4,True,2,4
double,64,64,64,-no-reorder, ,-p2p_pl,-pencils,-r2c_dir 1,4 4 2,2 4 4,12,0.35,0.6,0.75,cufft,-7.73902,7.297621250152588,polaris-gpu,32,64,4,True,3,4
double,64,64,64,-no-reorder, ,-p2p_pl,-pencils,-r2c_dir 1,4 4 2,2 4 4,12,0.35,0.6,0.75,cufft,-7.78122,7.279972076416016,polaris-gpu,32,64,4,True,4,4
float,64,64,64,-no-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 2,4 4 2,2 4 4,12,0.35,0.6,0.75,cufft,-8.93665,7.220329284667969,polaris-gpu,32,64,4,True,5,4
double,64,64,64,-no-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 1,4 4 2,8 2 2,12,0.35,0.2,0.75,cufft,-7.67869,10.395596981048584,polaris-gpu,32,64,4,True,2,4
double,64,64,64,-no-reorder, ,-p2p,-pencils,-r2c_dir 1,2 4 4,2 4 4,12,0.6,0.6,0.75,cufft,-6.13758,13.291234970092772,polaris-gpu,32,64,4,True,2,4
float,64,64,64,-no-reorder, ,-p2p_pl,-pencils,-r2c_dir 1,4 4 2,2 4 4,8,0.35,0.6,0.5,cufft,-7.82872,13.281904697418211,polaris-gpu,32,64,4,True,3,4
float,64,64,64,-no-reorder, ,-p2p_pl,-pencils,-r2c_dir 1,4 4 2,2 4 4,8,0.35,0.6,0.5,cufft,-8.0199,13.283106565475464,polaris-gpu,32,64,4,True,4,4
double,64,64,64,-reorder, ,-p2p_pl,-pencils,-r2c_dir 1,4 4 2,2 4 4,4,0.35,0.6,0.25,cufft,-7.95429,14.677058458328249,polaris-gpu,32,64,4,True,5,4
double,64,64,64,-no-reorder,-a2av, ,-pencils,-r2c_dir 1,4 4 2,2 4 4,8,0.35,0.6,0.5,cufft,-6.95728,16.61824107170105,polaris-gpu,32,64,4,True,2,4
double,64,64,64,-no-reorder, ,-p2p_pl,-pencils,-r2c_dir 1,16 2 1,2 4 4,2,0.05,0.6,0.0,cufft,-4.18071,19.441176891326904,polaris-gpu,32,64,4,True,2,4
double,64,64,64,-no-reorder, ,-p2p_pl,-pencils,-r2c_dir 1,4 4 2,2 4 4,8,0.35,0.6,0.5,cufft,-7.68494,19.434819221496586,polaris-gpu,32,64,4,True,3,4
double,64,64,64,-no-reorder, ,-p2p_pl,-pencils,-r2c_dir 1,4 4 2,2 4 4,2,0.35,0.6,0.0,cufft,-7.83208,19.433627367019653,polaris-gpu,32,64,4,True,4,4
double,64,64,64,-reorder, ,-p2p,-pencils,-r2c_dir 1,4 4 2,8 4 1,8,0.35,0.15,0.5,cufft,-4.59343,20.93466854095459,polaris-gpu,32,64,4,True,5,4
