p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p7_float,p8_float,p9_float,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,libE_id,libE_workers
float,512,-reorder, , ,-pencils,-r2c_dir 0,8 8 1,8 8 1,4,0.2222222222222222,0.2222222222222222,1.0,fftw,-101.78,24.44564700126648,theta-knl,64,256,64,False,2,4
float,512,-no-reorder, , ,-pencils,-r2c_dir 1,16 2 2,4 4 4,4,0.1481481481481481,0.4444444444444444,1.0,fftw,-29.579,31.71036076545716,theta-knl,64,256,64,False,3,4
double,512,-no-reorder,-a2av, ,-slabs,-r2c_dir 0,16 2 2,8 8 1,4,0.1481481481481481,0.2222222222222222,1.0,fftw,-25.2604,30.96024751663208,theta-knl,64,256,64,False,4,4
float,512,-reorder, , ,-slabs,-r2c_dir 0,16 2 2,16 2 2,4,0.1481481481481481,0.1481481481481481,1.0,fftw,-89.9832,30.60990047454834,theta-knl,64,256,64,False,5,4
float,512,-reorder,-a2av,-p2p,-pencils,-r2c_dir 0,32 2 1,4 4 4,2,0.037037037037037,0.4444444444444444,0.0,fftw,-48.1914,40.44855785369873,theta-knl,64,256,64,False,2,4
double,512,-no-reorder,-a2av, ,-pencils,-r2c_dir 1,4 4 4,64 1 1,2,0.4444444444444444,0.0,0.0,fftw,-59.3763,48.38961863517761,theta-knl,64,256,64,False,3,4
double,512,-no-reorder, ,-p2p,-pencils,-r2c_dir 0,16 2 2,4 4 4,4,0.1481481481481481,0.4444444444444444,1.0,fftw,-30.8025,56.7302360534668,theta-knl,64,256,64,False,4,4
float,512,-reorder, , ,-slabs,-r2c_dir 0,4 4 4,16 2 2,4,0.4444444444444444,0.1481481481481481,1.0,fftw,-92.9538,44.70690321922302,theta-knl,64,256,64,False,5,4
float,512,-reorder, ,-p2p_pl,-pencils,-r2c_dir 0,32 2 1,64 1 1,2,0.037037037037037,0.0,0.0,fftw,-94.808,56.21703767776489,theta-knl,64,256,64,False,2,4
float,512,-reorder,-a2a, ,-slabs,-r2c_dir 0,4 4 4,16 4 1,4,0.4444444444444444,0.1111111111111111,1.0,fftw,-90.6799,61.058398723602295,theta-knl,64,256,64,False,5,4
float,512,-reorder, , ,-slabs,-r2c_dir 0,4 4 4,16 2 2,4,0.4444444444444444,0.1481481481481481,1.0,fftw,-95.9662,60.6869752407074,theta-knl,64,256,64,False,3,4
