p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p7_float,p8_float,p9_float,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,libE_id,libE_workers
float,64, ,-a2a,-p2p_pl, ,-r2c_dir 2,1024 4 1,4096 1 1,2,0.03333333333333333,0.0,0.0,fftw,2.137,38.5174925327301,theta-knl,4096,256,64,False,2,4
float,64, ,-a2a,-p2p_pl,-slabs,-r2c_dir 0,2048 2 1,4096 1 1,2,0.011111111111111112,0.0,0.0,fftw,1.0,60.157562255859375,theta-knl,4096,256,64,False,3,4
float,64,-no-reorder, ,-p2p_pl,-slabs,-r2c_dir 1,2048 2 1,4096 1 1,2,0.011111111111111112,0.0,0.0,fftw,2.137,41.07239603996277,theta-knl,4096,256,64,False,4,4
float,64,-no-reorder,-a2a,-p2p, ,-r2c_dir 2,1024 4 1,4096 1 1,2,0.03333333333333333,0.0,0.0,fftw,2.137,38.71668386459351,theta-knl,4096,256,64,False,5,4
float,64, , ,-p2p_pl,-slabs,-r2c_dir 2,2048 2 1,4096 1 1,2,0.011111111111111112,0.0,0.0,fftw,-4.02234,53.24893879890442,theta-knl,4096,256,64,False,2,4
float,64,-no-reorder, ,-p2p_pl,-slabs,-r2c_dir 2,2048 2 1,4096 1 1,2,0.011111111111111112,0.0,0.0,fftw,-4.35255,55.74514651298523,theta-knl,4096,256,64,False,4,4
float,64,-no-reorder,-a2av,-p2p_pl,-slabs,-r2c_dir 2,1024 4 1,4096 1 1,4,0.03333333333333333,0.0,1.0,fftw,-2.88412,70.74427223205566,theta-knl,4096,256,64,False,5,4
float,64,-reorder,-a2av,-p2p_pl,-slabs,-r2c_dir 2,1024 4 1,4096 1 1,2,0.03333333333333333,0.0,0.0,fftw,-2.83386,68.52795124053955,theta-knl,4096,256,64,False,2,4
double,64, , ,-p2p,-slabs,-r2c_dir 2,2048 2 1,4096 1 1,4,0.011111111111111112,0.0,1.0,fftw,-2.60975,80.90672731399536,theta-knl,4096,256,64,False,4,4
float,64,-reorder,-a2av,-p2p_pl,-slabs,-r2c_dir 2,2048 2 1,4096 1 1,2,0.011111111111111112,0.0,0.0,fftw,-4.89775,82.79973006248474,theta-knl,4096,256,64,False,3,4
float,64, ,-a2av,-p2p_pl,-slabs,-r2c_dir 2,2048 2 1,4096 1 1,4,0.011111111111111112,0.0,1.0,fftw,-4.43827,95.46903347969057,theta-knl,4096,256,64,False,2,4
float,64,-reorder,-a2av,-p2p,-slabs,-r2c_dir 2,2048 2 1,4096 1 1,4,0.011111111111111112,0.0,1.0,fftw,-4.88207,83.9395227432251,theta-knl,4096,256,64,False,5,4
float,64,-no-reorder,-a2a,-p2p_pl,-slabs,-r2c_dir 2,1024 4 1,4096 1 1,2,0.03333333333333333,0.0,0.0,fftw,-2.88486,97.8682861328125,theta-knl,4096,256,64,False,3,4
float,64,-reorder,-a2av,-p2p_pl,-slabs,-r2c_dir 2,2048 2 1,4096 1 1,4,0.011111111111111112,0.0,1.0,fftw,-4.40668,96.42560648918152,theta-knl,4096,256,64,False,4,4
float,64,-reorder, ,-p2p,-slabs,-r2c_dir 2,2048 2 1,4096 1 1,2,0.011111111111111112,0.0,0.0,fftw,-4.73306,108.89487028121948,theta-knl,4096,256,64,False,5,4
float,64,-no-reorder,-a2av,-p2p,-slabs,-r2c_dir 2,1024 4 1,4096 1 1,4,0.03333333333333333,0.0,1.0,fftw,-2.11929,110.46596336364746,theta-knl,4096,256,64,False,2,4
double,64,-reorder, ,-p2p_pl,-slabs,-r2c_dir 2,2048 2 1,4096 1 1,2,0.011111111111111112,0.0,0.0,fftw,-3.24704,122.09763646125792,theta-knl,4096,256,64,False,3,4
double,64,-reorder,-a2a,-p2p_pl,-slabs,-r2c_dir 2,1024 4 1,4096 1 1,2,0.03333333333333333,0.0,0.0,fftw,-2.12733,112.27536821365356,theta-knl,4096,256,64,False,4,4
float,64, , ,-p2p_pl,-slabs,-r2c_dir 2,2048 2 1,2048 2 1,4,0.011111111111111112,0.011111111111111112,1.0,fftw,-3.77572,123.87467527389526,theta-knl,4096,256,64,False,2,4
float,64, ,-a2av, ,-slabs,-r2c_dir 2,1024 4 1,4096 1 1,4,0.03333333333333333,0.0,1.0,fftw,2.137,125.63089728355408,theta-knl,4096,256,64,False,4,4
double,64,-no-reorder, ,-p2p_pl,-slabs,-r2c_dir 2,2048 2 1,4096 1 1,2,0.011111111111111112,0.0,0.0,fftw,-2.93058,136.95267176628113,theta-knl,4096,256,64,False,5,4
float,64, ,-a2av,-p2p_pl,-slabs,-r2c_dir 2,2048 2 1,4096 1 1,4,0.011111111111111112,0.0,1.0,fftw,-4.50085,137.17540097236633,theta-knl,4096,256,64,False,2,4
float,64, , ,-p2p_pl,-slabs,-r2c_dir 2,2048 2 1,2048 2 1,4,0.011111111111111112,0.011111111111111112,1.0,fftw,-3.74609,151.89378094673157,theta-knl,4096,256,64,False,3,4
float,64, ,-a2av,-p2p,-slabs,-r2c_dir 2,2048 2 1,4096 1 1,4,0.011111111111111112,0.0,1.0,fftw,-4.13461,140.1859188079834,theta-knl,4096,256,64,False,4,4
float,64, ,-a2av,-p2p_pl,-slabs,-r2c_dir 2,2048 2 1,4096 1 1,4,0.011111111111111112,0.0,1.0,fftw,-4.26551,152.07441186904907,theta-knl,4096,256,64,False,2,4
float,64,-reorder,-a2a,-p2p,-slabs,-r2c_dir 2,1024 4 1,4096 1 1,2,0.03333333333333333,0.0,0.0,fftw,-2.50917,154.4368920326233,theta-knl,4096,256,64,False,4,4
float,64, , ,-p2p,-slabs,-r2c_dir 2,2048 2 1,4096 1 1,4,0.011111111111111112,0.0,1.0,fftw,-4.07794,167.23770928382874,theta-knl,4096,256,64,False,5,4
float,64,-no-reorder,-a2a,-p2p_pl,-slabs,-r2c_dir 2,2048 2 1,4096 1 1,2,0.011111111111111112,0.0,0.0,fftw,-4.81058,167.98244190216064,theta-knl,4096,256,64,False,2,4
double,64,-reorder,-a2av,-p2p_pl,-slabs,-r2c_dir 2,2048 2 1,4096 1 1,2,0.011111111111111112,0.0,0.0,fftw,-2.88588,169.38572072982788,theta-knl,4096,256,64,False,3,4
float,64,-no-reorder,-a2av,-p2p_pl,-slabs,-r2c_dir 2,2048 2 1,2048 2 1,4,0.011111111111111112,0.011111111111111112,1.0,fftw,-3.3379,181.7726304531097,theta-knl,4096,256,64,False,4,4
float,64,-no-reorder, ,-p2p_pl,-slabs,-r2c_dir 2,2048 2 1,2048 2 1,2,0.011111111111111112,0.011111111111111112,0.0,fftw,-3.63365,182.0307376384735,theta-knl,4096,256,64,False,2,4
float,64,-no-reorder, ,-p2p_pl,-slabs,-r2c_dir 2,2048 2 1,4096 1 1,4,0.011111111111111112,0.0,1.0,fftw,-4.56361,183.81256747245789,theta-knl,4096,256,64,False,3,4
float,64,-no-reorder, ,-p2p,-slabs,-r2c_dir 2,2048 2 1,4096 1 1,4,0.011111111111111112,0.0,1.0,fftw,-3.95212,195.8389797210693,theta-knl,4096,256,64,False,5,4
float,64,-no-reorder,-a2a,-p2p,-slabs,-r2c_dir 2,2048 2 1,2048 2 1,4,0.011111111111111112,0.011111111111111112,1.0,fftw,-3.5215,196.6181688308716,theta-knl,4096,256,64,False,2,4
float,64,-no-reorder,-a2a,-p2p,-slabs,-r2c_dir 2,2048 2 1,4096 1 1,4,0.011111111111111112,0.0,1.0,fftw,-3.83414,198.47099828720093,theta-knl,4096,256,64,False,3,4
float,64,-reorder, ,-p2p_pl,-slabs,-r2c_dir 2,2048 2 1,4096 1 1,4,0.011111111111111112,0.0,1.0,fftw,-4.63408,210.59395360946647,theta-knl,4096,256,64,False,4,4
double,64, ,-a2a,-p2p,-slabs,-r2c_dir 2,2048 2 1,4096 1 1,2,0.011111111111111112,0.0,0.0,fftw,-3.14586,210.94859719276428,theta-knl,4096,256,64,False,2,4
float,64, , ,-p2p_pl,-slabs,-r2c_dir 2,2048 2 1,4096 1 1,2,0.011111111111111112,0.0,0.0,fftw,-4.62452,213.12625432014465,theta-knl,4096,256,64,False,3,4
