p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,ranks_per_node,gpu_enabled,libE_id,libE_workers
double,128, ,-a2a,-p2p_pl, ,-r2c_dir 1,0.7442206959095808,0.24330172425634045,4,fftw,2.137,404.28267216682434,theta-knl,4096,64,False,5,4
float,128, ,-a2a,-p2p_pl, ,-r2c_dir 1,0.7976000299531064,0.5709919861476804,4,fftw,-28.1629,407.9625208377838,theta-knl,4096,64,False,2,4
float,128,-reorder,-a2a,-p2p_pl, ,-r2c_dir 1,0.7459743632972785,0.5727923751274944,4,fftw,-32.8648,419.7205011844635,theta-knl,4096,64,False,4,4
float,128,-reorder,-a2a,-p2p_pl,-slabs,-r2c_dir 1,0.749577095986715,0.5917121640015209,2,fftw,-0.380868,424.2339780330658,theta-knl,4096,64,False,3,4
float,128, ,-a2a,-p2p_pl, ,-r2c_dir 1,0.7525720598626789,0.690549728744521,2,fftw,-25.9448,446.8029718399048,theta-knl,4096,64,False,5,4
float,128, , ,-p2p_pl,-pencils,-r2c_dir 1,0.5878250083434136,0.4364214496282446,4,fftw,-31.8048,451.61308336257935,theta-knl,4096,64,False,2,4
float,128, , ,-p2p_pl,-pencils,-r2c_dir 1,0.6637869506881956,0.5941187646511541,4,fftw,-26.245,462.99559259414673,theta-knl,4096,64,False,4,4
float,128, ,-a2av,-p2p_pl, ,-r2c_dir 1,0.7228077636681572,0.5811010672970779,2,fftw,-32.3838,464.9492881298065,theta-knl,4096,64,False,3,4
float,128, ,-a2a,-p2p_pl, ,-r2c_dir 1,0.7285437563645637,0.49877184804893715,4,fftw,-23.3921,479.3918058872223,theta-knl,4096,64,False,5,4
float,128,-no-reorder, ,-p2p_pl,-pencils,-r2c_dir 2,0.7344195561253973,0.5694249339008293,4,fftw,-23.9837,488.8616578578949,theta-knl,4096,64,False,2,4
float,128, ,-a2a,-p2p_pl,-slabs,-r2c_dir 1,0.7543604909223468,0.5997375756493677,4,fftw,-0.364651,503.3405051231384,theta-knl,4096,64,False,4,4
float,128,-reorder, ,-p2p_pl, ,-r2c_dir 1,0.7019725089950014,0.5014423804318806,4,fftw,-32.7465,505.8296263217926,theta-knl,4096,64,False,3,4
float,128, , ,-p2p_pl, ,-r2c_dir 2,0.7617711752072392,0.5701422239904133,2,fftw,-32.3896,518.9504096508026,theta-knl,4096,64,False,5,4
float,128, , , ,-pencils,-r2c_dir 1,0.7457624054726341,0.5517048733247987,2,fftw,-18.5128,535.9239525794983,theta-knl,4096,64,False,2,4
float,128, , ,-p2p_pl, ,-r2c_dir 1,0.747988373743735,0.5686768199875556,2,fftw,-32.0927,544.4078714847565,theta-knl,4096,64,False,3,4
float,128, , ,-p2p_pl, ,-r2c_dir 1,0.7914288054772339,0.5931445908875105,4,fftw,-33.741,546.548451423645,theta-knl,4096,64,False,4,4
float,128, ,-a2av,-p2p_pl, ,-r2c_dir 1,0.7396583872305936,0.5453205422840065,4,fftw,-33.2942,560.2859792709351,theta-knl,4096,64,False,5,4
double,128,-no-reorder,-a2a,-p2p_pl, , ,0.7664286968279421,0.5963442645635844,2,fftw,-19.343,573.6996865272522,theta-knl,4096,64,False,2,4
float,128,-reorder,-a2a,-p2p_pl, ,-r2c_dir 1,0.5761997805242288,0.5264414085378543,4,fftw,-31.8379,583.1568851470947,theta-knl,4096,64,False,3,4
float,128,-reorder,-a2a,-p2p_pl, ,-r2c_dir 1,0.7873085137495377,0.571251133467662,4,fftw,-34.4122,589.0157287120819,theta-knl,4096,64,False,4,4
float,128,-no-reorder,-a2av,-p2p_pl, ,-r2c_dir 1,0.7668789586005843,0.5491542979106762,4,fftw,-34.7003,601.4969143867493,theta-knl,4096,64,False,5,4
float,128, , ,-p2p_pl, ,-r2c_dir 0,0.7730842023173893,0.5865378924944047,4,fftw,-22.5057,614.2724559307098,theta-knl,4096,64,False,2,4
float,128, ,-a2av,-p2p_pl,-pencils,-r2c_dir 1,0.7029559108288833,0.5263212281620796,4,fftw,-33.1428,622.7805559635162,theta-knl,4096,64,False,3,4
float,128, , ,-p2p_pl, ,-r2c_dir 1,0.8955300378306337,0.5787370958607336,4,fftw,-31.4316,631.098790884018,theta-knl,4096,64,False,4,4
float,128,-reorder, ,-p2p_pl, ,-r2c_dir 1,0.593439358033339,0.4493665108408572,4,fftw,-30.9823,644.6547174453735,theta-knl,4096,64,False,5,4
float,128,-no-reorder,-a2av,-p2p_pl, ,-r2c_dir 1,0.5266615394312224,0.5289819684015218,2,fftw,-29.6447,655.3306512832642,theta-knl,4096,64,False,2,4
float,128, , ,-p2p_pl, ,-r2c_dir 1,0.7218063133902166,0.5095700614700668,4,fftw,-32.8467,661.6874380111694,theta-knl,4096,64,False,3,4
float,128, , ,-p2p_pl, ,-r2c_dir 1,0.9496111377132216,0.5293924854041039,4,fftw,-33.0792,675.0309550762177,theta-knl,4096,64,False,4,4
float,128,-reorder,-a2a,-p2p_pl, ,-r2c_dir 1,0.6926383616445978,0.5302080534516193,4,fftw,-30.1262,683.810712814331,theta-knl,4096,64,False,5,4
