p0,p1x,p1y,p1z,p2,p3,p4,p5,p6,p7,p8,p9,p7_float,p8_float,p9_float,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,libE_id,libE_workers
float,256,256,256, , , ,-slabs,-r2c_dir 1,2 2 4,16 1 1,8,0.5714285714285714,0.0,0.5,cufft,-403.346,7.431846618652344,polaris-gpu,16,64,4,True,2,4
double,256,256,256, , ,-p2p_pl,-slabs,-r2c_dir 1,2 2 4,4 4 1,12,0.5714285714285714,0.21428571428571427,0.75,cufft,-309.252,7.425366640090942,polaris-gpu,16,64,4,True,3,4
double,256,256,256, , ,-p2p,-slabs,-r2c_dir 1,2 2 4,16 1 1,16,0.5714285714285714,0.0,1.0,cufft,-293.272,7.772529602050781,polaris-gpu,16,64,4,True,4,4
double,256,256,256,-no-reorder,-a2a, ,-slabs,-r2c_dir 1,2 2 4,16 1 1,16,0.5714285714285714,0.0,1.0,cufft,-328.945,7.522455215454102,polaris-gpu,16,64,4,True,5,4
float,256,256,256, , ,-p2p_pl,-slabs,-r2c_dir 1,4 4 1,4 2 2,12,0.21428571428571427,0.2857142857142857,0.75,cufft,-212.115,10.806475400924684,polaris-gpu,16,64,4,True,2,4
double,256,256,256,-reorder,-a2a, ,-slabs,-r2c_dir 1,2 2 4,2 2 4,12,0.5714285714285714,0.5714285714285714,0.75,cufft,-127.111,13.90499472618103,polaris-gpu,16,64,4,True,2,4
float,256,256,256, ,-a2a,-p2p_pl,-slabs,-r2c_dir 1,2 2 4,4 2 2,12,0.5714285714285714,0.2857142857142857,0.75,cufft,-287.116,13.69728660583496,polaris-gpu,16,64,4,True,3,4
double,256,256,256,-no-reorder, , ,-slabs,-r2c_dir 1,2 2 4,8 2 1,16,0.5714285714285714,0.07142857142857142,1.0,cufft,-272.82,13.7598295211792,polaris-gpu,16,64,4,True,4,4
double,256,256,256, , , ,-slabs,-r2c_dir 1,2 2 4,2 2 4,12,0.5714285714285714,0.5714285714285714,0.75,cufft,-207.252,15.208955764770508,polaris-gpu,16,64,4,True,5,4
double,256,256,256, ,-a2a,-p2p,-pencils,-r2c_dir 1,2 2 4,2 2 4,12,0.5714285714285714,0.5714285714285714,0.75,cufft,-313.487,16.995450496673584,polaris-gpu,16,64,4,True,2,4
double,256,256,256,-reorder, , ,-slabs,-r2c_dir 1,4 4 1,16 1 1,16,0.21428571428571427,0.0,1.0,cufft,-222.087,19.286619424819943,polaris-gpu,16,64,4,True,2,4
