p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,ranks_per_node,gpu_enabled,libE_id,libE_workers
float,64, ,-a2a,-p2p_pl, ,-r2c_dir 0,0.6870629151409867,0.8928531563232041,12,cufft,-9.40891,74.28322505950928,polaris-gpu,8,4,True,2,4
float,64,-reorder,-a2a,-p2p, ,-r2c_dir 2,0.6670650324535116,0.9028761473634517,12,cufft,-5.4761,76.61600613594055,polaris-gpu,8,4,True,2,4
float,64,-reorder, ,-p2p_pl,-slabs,-r2c_dir 0,0.7160572171863869,0.9730577839788948,12,cufft,-9.15693,78.85769081115723,polaris-gpu,8,4,True,2,4
float,64, ,-a2av,-p2p_pl, ,-r2c_dir 2,0.6753344719306781,0.9065188666182713,12,cufft,-12.5637,81.33348870277405,polaris-gpu,8,4,True,2,4
double,64,-reorder,-a2a,-p2p_pl, ,-r2c_dir 2,0.6874687416989481,0.9163137330953713,16,cufft,-6.25814,83.43549108505249,polaris-gpu,8,4,True,2,4
float,64,-reorder,-a2a,-p2p_pl, ,-r2c_dir 2,0.6752340699259897,0.8612584496197493,2,cufft,-10.1832,85.81007480621338,polaris-gpu,8,4,True,2,4
float,64,-reorder, , , ,-r2c_dir 0,0.6872568950137001,0.8993574656730914,12,cufft,-6.7773,87.97502732276917,polaris-gpu,8,4,True,2,4
float,64,-reorder,-a2a, ,-slabs,-r2c_dir 2,0.5681022391990119,0.9690989300400584,12,cufft,-5.52967,90.37015295028687,polaris-gpu,8,4,True,2,4
double,64,-reorder, ,-p2p_pl, ,-r2c_dir 2,0.6661993069475365,0.9189494884970846,12,cufft,-5.60808,94.98078775405884,polaris-gpu,8,4,True,4,4
float,64,-reorder,-a2a, , ,-r2c_dir 2,0.6751693336055637,0.9080672786095196,4,cufft,1.0,101.37693476676941,polaris-gpu,8,4,True,2,4
float,64,-no-reorder,-a2a, , ,-r2c_dir 2,0.6656888494061337,0.6986733576775006,2,cufft,1.0,103.71583938598633,polaris-gpu,8,4,True,5,4
float,64,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 2,0.6808839486740006,0.9461972366578005,16,cufft,-11.4004,105.14627504348755,polaris-gpu,8,4,True,2,4
float,64, ,-a2a, , ,-r2c_dir 2,0.6782045019239665,0.9063230878612467,8,cufft,1.0,106.51451182365417,polaris-gpu,8,4,True,4,4
float,64,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 2,0.6858397023584565,0.8608701844002867,4,cufft,-2.10466,109.38756227493286,polaris-gpu,8,4,True,2,4
float,64,-reorder,-a2av,-p2p, ,-r2c_dir 0,0.6756139086082835,0.7356751400878131,2,cufft,-2.0453,111.68998408317566,polaris-gpu,8,4,True,2,4
float,64, ,-a2a,-p2p_pl,-slabs, ,0.6762845632248398,0.9058765582533735,16,cufft,-3.0276,113.82199454307556,polaris-gpu,8,4,True,3,4
float,64,-reorder, ,-p2p_pl, ,-r2c_dir 2,0.6496474163810053,0.9244248077262882,12,cufft,-7.89101,116.32478547096252,polaris-gpu,8,4,True,3,4
float,64,-no-reorder,-a2a,-p2p,-slabs,-r2c_dir 2,0.6840254301471297,0.7460953871948884,2,cufft,-4.03227,116.4249267578125,polaris-gpu,8,4,True,4,4
float,64,-no-reorder,-a2a,-p2p,-pencils,-r2c_dir 2,0.6898435835154061,0.9130674707151689,12,cufft,-11.6558,119.03118181228638,polaris-gpu,8,4,True,3,4
float,64,-reorder,-a2av,-p2p, ,-r2c_dir 2,0.6568529201946925,0.9200192742340616,12,cufft,-3.71734,121.72127747535706,polaris-gpu,8,4,True,3,4
