p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,libE_id,libE_workers
double,64, , ,-p2p_pl,-pencils,-r2c_dir 2,0.4378773610221667,0.8789727444704287,0.012712195130069714,cufft,0.0,0.0,,0,0,0,False,0,0
float,64,-reorder, ,-p2p_pl, ,-r2c_dir 2,0.3016617696205268,0.4894056520809362,0.013466342107172458,cufft,0.0,0.0,,0,0,0,False,0,0
