p0,p1x,p1y,p1z,p2,p3,p4,p5,p6,p7,p8,p9,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,p7_float,p8_float,p9_float,libE_id,libE_workers
float,64,64,64,-no-reorder,-a2a, ,-pencils,-r2c_dir 2,128 1 1,128 1 1,2,fftw,-12.6714,23.00068688392639,theta-knl,128,256,64,False,0.0,0.0,0.0,4,4
float,64,64,64,-no-reorder, , ,-pencils,-r2c_dir 1,128 1 1,128 1 1,4,fftw,-12.5228,23.09972071647644,theta-knl,128,256,64,False,0.0,0.0,1.0,3,4
double,64,64,64,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 2,128 1 1,128 1 1,2,fftw,-4.03962,32.472543239593506,theta-knl,128,256,64,False,0.0,0.0,0.0,4,4
float,64,64,64,-reorder, , ,-pencils,-r2c_dir 0,128 1 1,128 1 1,4,fftw,2.137,34.47817707061768,theta-knl,128,256,64,False,0.0,0.0,1.0,2,4
float,64,64,64,-no-reorder,-a2a, ,-pencils,-r2c_dir 2,128 1 1,128 1 1,4,fftw,-12.2004,40.26753568649292,theta-knl,128,256,64,False,0.0,0.0,1.0,4,4
double,64,64,64,-reorder, ,-p2p,-pencils,-r2c_dir 0,128 1 1,128 1 1,2,fftw,2.137,40.86437201499939,theta-knl,128,256,64,False,0.0,0.0,0.0,3,4
float,64,64,64,-no-reorder,-a2a,-p2p,-slabs,-r2c_dir 0,128 1 1,128 1 1,2,fftw,2.137,43.7000584602356,theta-knl,128,256,64,False,0.0,0.0,0.0,5,4
double,64,64,64,-no-reorder,-a2a, ,-pencils,-r2c_dir 2,128 1 1,128 1 1,4,fftw,-6.70561,48.27506899833679,theta-knl,128,256,64,False,0.0,0.0,1.0,3,4
float,64,64,64,-no-reorder,-a2a, ,-pencils,-r2c_dir 0,128 1 1,128 1 1,4,fftw,2.137,49.67437171936035,theta-knl,128,256,64,False,0.0,0.0,1.0,2,4
float,64,64,64,-no-reorder, , ,-pencils,-r2c_dir 2,128 1 1,128 1 1,4,fftw,-12.4435,52.57192301750183,theta-knl,128,256,64,False,0.0,0.0,1.0,4,4
float,64,64,64,-reorder, , ,-pencils,-r2c_dir 2,128 1 1,128 1 1,2,fftw,-10.0433,52.62217736244202,theta-knl,128,256,64,False,0.0,0.0,0.0,5,4
float,64,64,64,-no-reorder,-a2a, ,-pencils,-r2c_dir 2,128 1 1,128 1 1,2,fftw,-13.0091,55.94491219520569,theta-knl,128,256,64,False,0.0,0.0,0.0,2,4
float,64,64,64,-no-reorder,-a2a, ,-pencils,-r2c_dir 2,128 1 1,128 1 1,4,fftw,-12.2269,57.84596252441406,theta-knl,128,256,64,False,0.0,0.0,1.0,3,4
float,64,64,64,-no-reorder, ,-p2p_pl,-pencils,-r2c_dir 2,128 1 1,128 1 1,4,fftw,-5.59937,60.406012773513794,theta-knl,128,256,64,False,0.0,0.0,1.0,4,4
float,64,64,64,-reorder, , ,-pencils,-r2c_dir 2,128 1 1,128 1 1,4,fftw,-12.7131,62.08099722862244,theta-knl,128,256,64,False,0.0,0.0,1.0,2,4
float,64,64,64,-no-reorder, , ,-pencils,-r2c_dir 2,128 1 1,128 1 1,2,fftw,-9.87191,63.88005304336548,theta-knl,128,256,64,False,0.0,0.0,0.0,3,4
double,64,64,64,-no-reorder,-a2a, ,-pencils,-r2c_dir 2,128 1 1,128 1 1,2,fftw,-8.64592,65.82849860191345,theta-knl,128,256,64,False,0.0,0.0,0.0,5,4
float,64,64,64,-no-reorder,-a2a, ,-slabs,-r2c_dir 2,128 1 1,128 1 1,4,fftw,-10.9939,68.097158908844,theta-knl,128,256,64,False,0.0,0.0,1.0,2,4
float,64,64,64,-reorder, , ,-pencils,-r2c_dir 2,128 1 1,128 1 1,4,fftw,-6.81464,69.93775391578674,theta-knl,128,256,64,False,0.0,0.0,1.0,3,4
float,64,64,64,-no-reorder,-a2av, ,-pencils,-r2c_dir 2,128 1 1,128 1 1,2,fftw,-10.4407,71.79129147529602,theta-knl,128,256,64,False,0.0,0.0,0.0,4,4
double,64,64,64,-no-reorder,-a2a, ,-pencils,-r2c_dir 2,128 1 1,128 1 1,4,fftw,-6.92708,74.70015478134155,theta-knl,128,256,64,False,0.0,0.0,1.0,5,4
float,64,64,64,-reorder,-a2a, ,-pencils,-r2c_dir 2,128 1 1,128 1 1,4,fftw,-12.5501,75.78793573379517,theta-knl,128,256,64,False,0.0,0.0,1.0,2,4
float,64,64,64,-no-reorder, , ,-slabs,-r2c_dir 2,128 1 1,128 1 1,2,fftw,-9.72589,77.58049488067627,theta-knl,128,256,64,False,0.0,0.0,0.0,3,4
float,64,64,64,-no-reorder,-a2av, ,-pencils,-r2c_dir 2,128 1 1,128 1 1,4,fftw,-12.3548,79.6613564491272,theta-knl,128,256,64,False,0.0,0.0,1.0,4,4
float,64,64,64,-reorder,-a2a, ,-pencils,-r2c_dir 2,128 1 1,128 1 1,2,fftw,-13.2448,82.40548777580261,theta-knl,128,256,64,False,0.0,0.0,0.0,2,4
float,64,64,64,-reorder,-a2a, ,-pencils,-r2c_dir 2,128 1 1,128 1 1,4,fftw,-11.8838,84.13615798950195,theta-knl,128,256,64,False,0.0,0.0,1.0,3,4
float,64,64,64,-no-reorder,-a2a, ,-slabs,-r2c_dir 2,128 1 1,128 1 1,2,fftw,-10.3742,86.07424306869507,theta-knl,128,256,64,False,0.0,0.0,0.0,4,4
float,64,64,64,-no-reorder, , ,-pencils,-r2c_dir 2,128 1 1,128 1 1,4,fftw,-12.9071,87.79223155975342,theta-knl,128,256,64,False,0.0,0.0,1.0,5,4
float,64,64,64,-reorder,-a2a, ,-pencils,-r2c_dir 2,128 1 1,128 1 1,2,fftw,-12.9659,90.02089095115662,theta-knl,128,256,64,False,0.0,0.0,0.0,2,4
float,64,64,64,-reorder,-a2a, ,-pencils,-r2c_dir 2,128 1 1,128 1 1,2,fftw,-12.4711,91.92554783821106,theta-knl,128,256,64,False,0.0,0.0,0.0,3,4
float,64,64,64,-reorder,-a2av, ,-pencils,-r2c_dir 2,128 1 1,128 1 1,4,fftw,-12.2777,93.79561686515808,theta-knl,128,256,64,False,0.0,0.0,1.0,4,4
float,64,64,64,-no-reorder,-a2av, ,-slabs,-r2c_dir 2,128 1 1,128 1 1,4,fftw,-9.78184,95.68240571022034,theta-knl,128,256,64,False,0.0,0.0,1.0,5,4
