p0,p1x,p1y,p1z,p2,p3,p4,p5,p6,p7,p8,p9,p7_float,p8_float,p9_float,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,libE_id,libE_workers
float,1024,1024,1024, , , , , ,4 4 1,4 4 1,8,0.21428571428571427,0.21428571428571427,0.5,cufft,-569.686,14.265505313873293,polaris-gpu,16,64,4,True,2,4
float,1024,1024,1024,-no-reorder, , , ,-r2c_dir 1,4 4 1,2 2 4,8,0.21428571428571427,0.5714285714285714,0.5,cufft,-485.013,14.676928281784058,polaris-gpu,16,64,4,True,3,4
double,1024,1024,1024,-no-reorder,-a2a, ,-pencils, ,4 4 1,8 2 1,12,0.21428571428571427,0.07142857142857142,0.75,cufft,-107.223,30.51961922645569,polaris-gpu,16,64,4,True,4,4
double,1024,1024,1024,-reorder,-a2a,-p2p,-slabs,-r2c_dir 0,2 2 4,8 2 1,2,0.5714285714285714,0.07142857142857142,0.0,cufft,-188.063,21.50540828704834,polaris-gpu,16,64,4,True,5,4
double,1024,1024,1024, ,-a2a, ,-pencils,-r2c_dir 0,2 2 4,2 2 4,12,0.5714285714285714,0.5714285714285714,0.75,cufft,-92.9721,44.97385907173157,polaris-gpu,16,64,4,True,2,4
double,1024,1024,1024, , , ,-slabs,-r2c_dir 0,4 4 1,4 4 1,16,0.21428571428571427,0.21428571428571427,1.0,cufft,-336.26,29.630677223205566,polaris-gpu,16,64,4,True,3,4
double,1024,1024,1024, ,-a2av,-p2p_pl,-pencils,-r2c_dir 2,8 2 1,4 2 2,2,0.07142857142857142,0.2857142857142857,0.0,cufft,-139.91,45.66914224624634,polaris-gpu,16,64,4,True,5,4
float,1024,1024,1024, , , ,-slabs, ,16 1 1,8 2 1,4,0.0,0.07142857142857142,0.25,cufft,-598.244,45.24317193031311,polaris-gpu,16,64,4,True,3,4
float,1024,1024,1024,-no-reorder, ,-p2p_pl,-slabs, ,4 4 1,2 2 4,8,0.21428571428571427,0.5714285714285714,0.5,cufft,-770.727,42.09102773666382,polaris-gpu,16,64,4,True,4,4
float,1024,1024,1024,-no-reorder, , , , ,4 4 1,2 2 4,8,0.21428571428571427,0.5714285714285714,0.5,cufft,-476.654,54.88561081886292,polaris-gpu,16,64,4,True,4,4
float,1024,1024,1024,-no-reorder, ,-p2p,-slabs,-r2c_dir 2,16 1 1,2 2 4,4,0.0,0.5714285714285714,0.25,cufft,-618.779,56.87982773780823,polaris-gpu,16,64,4,True,2,4
float,1024,1024,1024,-reorder, ,-p2p,-slabs, ,4 4 1,16 1 1,8,0.21428571428571427,0.0,0.5,cufft,-618.037,58.40344786643982,polaris-gpu,16,64,4,True,3,4
float,1024,1024,1024, , , , , ,4 4 1,16 1 1,8,0.21428571428571427,0.0,0.5,cufft,-820.122,57.743807315826416,polaris-gpu,16,64,4,True,5,4
float,1024,1024,1024,-no-reorder, , ,-slabs, ,4 4 1,2 2 4,2,0.21428571428571427,0.5714285714285714,0.0,cufft,-236.28,72.45331072807312,polaris-gpu,16,64,4,True,4,4
float,1024,1024,1024,-no-reorder, ,-p2p,-slabs,-r2c_dir 0,4 4 1,2 2 4,8,0.21428571428571427,0.5714285714285714,0.5,cufft,-391.473,70.49074101448059,polaris-gpu,16,64,4,True,2,4
float,1024,1024,1024,-no-reorder, ,-p2p_pl, , ,8 2 1,4 2 2,4,0.07142857142857142,0.2857142857142857,0.25,cufft,-408.768,72.18984127044678,polaris-gpu,16,64,4,True,3,4
float,1024,1024,1024,-reorder, ,-p2p,-slabs, ,8 2 1,4 2 2,8,0.07142857142857142,0.2857142857142857,0.5,cufft,-372.498,73.322194814682,polaris-gpu,16,64,4,True,5,4
float,1024,1024,1024, , , ,-slabs, ,4 4 1,8 2 1,8,0.21428571428571427,0.07142857142857142,0.5,cufft,-846.329,81.46679973602295,polaris-gpu,16,64,4,True,2,4
float,1024,1024,1024,-no-reorder, , , , ,4 4 1,4 4 1,4,0.21428571428571427,0.21428571428571427,0.25,cufft,-403.925,85.89600014686584,polaris-gpu,16,64,4,True,3,4
float,1024,1024,1024,-no-reorder, ,-p2p_pl,-slabs, ,4 4 1,16 1 1,4,0.21428571428571427,0.0,0.25,cufft,-768.927,85.48495960235596,polaris-gpu,16,64,4,True,4,4
float,1024,1024,1024, , , ,-pencils, ,4 4 1,16 1 1,8,0.21428571428571427,0.0,0.5,cufft,-821.099,85.26784634590149,polaris-gpu,16,64,4,True,5,4
float,1024,1024,1024, ,-a2av,-p2p,-slabs, ,16 1 1,16 1 1,8,0.0,0.0,0.5,cufft,-380.06,95.182373046875,polaris-gpu,16,64,4,True,2,4
float,1024,1024,1024,-reorder, , ,-pencils, ,4 2 2,16 1 1,8,0.2857142857142857,0.0,0.5,cufft,-861.574,96.18612742424013,polaris-gpu,16,64,4,True,3,4
float,1024,1024,1024, , ,-p2p,-pencils,-r2c_dir 2,4 4 1,16 1 1,8,0.21428571428571427,0.0,0.5,cufft,-589.569,99.03710460662842,polaris-gpu,16,64,4,True,4,4
float,1024,1024,1024, ,-a2a, ,-slabs, ,4 4 1,16 1 1,8,0.21428571428571427,0.0,0.5,cufft,-817.736,98.33552241325378,polaris-gpu,16,64,4,True,5,4
float,1024,1024,1024, , , ,-slabs, ,4 4 1,16 1 1,8,0.21428571428571427,0.0,0.5,cufft,-814.382,106.30280828475952,polaris-gpu,16,64,4,True,2,4
