p0,p1x,p1y,p1z,p2,p3,p4,p5,p6,p7,p8,p9,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,p7_float,p8_float,p9_float,libE_id,libE_workers
float,1024,1024,1024,-reorder,-a2av, , ,-r2c_dir 2,2048 1 1,2048 1 1,4,fftw,-544.425,196.4348542690277,theta-knl,2048,256,64,False,0.0,0.0,1.0,2,4
float,1024,1024,1024,-reorder, , ,-slabs,-r2c_dir 2,2048 1 1,2048 1 1,4,fftw,-431.265,197.8832938671112,theta-knl,2048,256,64,False,0.0,0.0,1.0,4,4
float,1024,1024,1024,-reorder, ,-p2p_pl, ,-r2c_dir 2,2048 1 1,2048 1 1,2,fftw,-356.321,256.6635422706604,theta-knl,2048,256,64,False,0.0,0.0,0.0,3,4
float,1024,1024,1024,-reorder, , ,-pencils,-r2c_dir 2,2048 1 1,2048 1 1,2,fftw,-590.277,205.36707854270935,theta-knl,2048,256,64,False,0.0,0.0,0.0,5,4
float,1024,1024,1024,-reorder,-a2av, , ,-r2c_dir 2,2048 1 1,2048 1 1,2,fftw,-572.314,214.2745053768158,theta-knl,2048,256,64,False,0.0,0.0,0.0,2,4
float,1024,1024,1024,-reorder, ,-p2p,-slabs,-r2c_dir 2,2048 1 1,2048 1 1,4,fftw,-395.651,218.2536826133728,theta-knl,2048,256,64,False,0.0,0.0,1.0,4,4
float,1024,1024,1024,-reorder, , ,-slabs,-r2c_dir 2,2048 1 1,2048 1 1,2,fftw,-466.147,222.11337780952454,theta-knl,2048,256,64,False,0.0,0.0,0.0,5,4
float,1024,1024,1024,-reorder,-a2a, , ,-r2c_dir 2,2048 1 1,2048 1 1,2,fftw,-426.587,233.77966618537903,theta-knl,2048,256,64,False,0.0,0.0,0.0,2,4
float,1024,1024,1024,-reorder,-a2av, ,-pencils,-r2c_dir 2,2048 1 1,2048 1 1,2,fftw,-574.215,235.78343057632446,theta-knl,2048,256,64,False,0.0,0.0,0.0,4,4
double,1024,1024,1024,-reorder, , , ,-r2c_dir 2,2048 1 1,2048 1 1,2,fftw,-311.877,243.61912608146667,theta-knl,2048,256,64,False,0.0,0.0,0.0,5,4
float,1024,1024,1024, , , ,-pencils,-r2c_dir 2,2048 1 1,2048 1 1,2,fftw,-582.078,251.67283272743225,theta-knl,2048,256,64,False,0.0,0.0,0.0,2,4
float,1024,1024,1024,-reorder,-a2a, ,-pencils,-r2c_dir 2,2048 1 1,2048 1 1,2,fftw,-424.283,255.27199602127075,theta-knl,2048,256,64,False,0.0,0.0,0.0,4,4
float,1024,1024,1024,-reorder,-a2av, ,-pencils,-r2c_dir 2,2048 1 1,2048 1 1,4,fftw,-574.87,261.6909501552582,theta-knl,2048,256,64,False,0.0,0.0,1.0,5,4
float,1024,1024,1024,-reorder, ,-p2p,-pencils,-r2c_dir 2,2048 1 1,2048 1 1,2,fftw,-484.738,272.60127115249634,theta-knl,2048,256,64,False,0.0,0.0,0.0,2,4
float,1024,1024,1024, , , ,-pencils,-r2c_dir 2,2048 1 1,2048 1 1,4,fftw,-575.881,273.12183833122253,theta-knl,2048,256,64,False,0.0,0.0,1.0,3,4
float,1024,1024,1024,-reorder,-a2av, ,-slabs,-r2c_dir 2,2048 1 1,2048 1 1,2,fftw,-457.973,274.07346963882446,theta-knl,2048,256,64,False,0.0,0.0,0.0,4,4
float,1024,1024,1024,-reorder,-a2a, ,-pencils,-r2c_dir 2,2048 1 1,2048 1 1,4,fftw,-427.439,281.29005098342896,theta-knl,2048,256,64,False,0.0,0.0,1.0,5,4
float,1024,1024,1024,-reorder, ,-p2p,-pencils,-r2c_dir 2,2048 1 1,2048 1 1,4,fftw,-501.485,293.57204031944275,theta-knl,2048,256,64,False,0.0,0.0,1.0,2,4
float,1024,1024,1024, ,-a2av, ,-pencils,-r2c_dir 2,2048 1 1,2048 1 1,4,fftw,-561.296,293.7827670574188,theta-knl,2048,256,64,False,0.0,0.0,1.0,3,4
float,1024,1024,1024, ,-a2av, ,-pencils,-r2c_dir 2,2048 1 1,2048 1 1,2,fftw,-567.452,293.6813635826111,theta-knl,2048,256,64,False,0.0,0.0,0.0,4,4
float,1024,1024,1024,-reorder,-a2av, ,-slabs,-r2c_dir 2,2048 1 1,2048 1 1,4,fftw,-472.323,298.1324577331543,theta-knl,2048,256,64,False,0.0,0.0,1.0,5,4
float,1024,1024,1024,-reorder,-a2av,-p2p,-pencils,-r2c_dir 2,2048 1 1,2048 1 1,4,fftw,-505.591,314.5928075313568,theta-knl,2048,256,64,False,0.0,0.0,1.0,2,4
float,1024,1024,1024, ,-a2av,-p2p_pl,-pencils,-r2c_dir 2,2048 1 1,2048 1 1,4,fftw,-312.789,369.2329978942871,theta-knl,2048,256,64,False,0.0,0.0,1.0,3,4
float,1024,1024,1024, ,-a2av, , ,-r2c_dir 2,2048 1 1,2048 1 1,2,fftw,-584.6,315.46229338645935,theta-knl,2048,256,64,False,0.0,0.0,0.0,4,4
float,1024,1024,1024, ,-a2a, ,-pencils,-r2c_dir 2,2048 1 1,2048 1 1,4,fftw,-413.847,319.2137942314148,theta-knl,2048,256,64,False,0.0,0.0,1.0,5,4
float,1024,1024,1024, , ,-p2p,-pencils,-r2c_dir 2,2048 1 1,2048 1 1,2,fftw,-517.93,335.6507349014282,theta-knl,2048,256,64,False,0.0,0.0,0.0,2,4
float,1024,1024,1024, ,-a2av, , ,-r2c_dir 2,2048 1 1,2048 1 1,4,fftw,-573.561,334.76187467575073,theta-knl,2048,256,64,False,0.0,0.0,1.0,4,4
float,1024,1024,1024, ,-a2av, ,-slabs,-r2c_dir 2,2048 1 1,2048 1 1,2,fftw,-452.183,335.85871982574463,theta-knl,2048,256,64,False,0.0,0.0,0.0,5,4
float,1024,1024,1024,-reorder,-a2av,-p2p,-pencils,-r2c_dir 2,2048 1 1,2048 1 1,2,fftw,-515.123,355.26849269866943,theta-knl,2048,256,64,False,0.0,0.0,0.0,2,4
float,1024,1024,1024, ,-a2av,-p2p, ,-r2c_dir 2,2048 1 1,2048 1 1,4,fftw,-508.455,358.46800351142883,theta-knl,2048,256,64,False,0.0,0.0,1.0,4,4
double,1024,1024,1024,-reorder,-a2av, ,-pencils,-r2c_dir 2,2048 1 1,2048 1 1,2,fftw,-335.294,358.4190800189972,theta-knl,2048,256,64,False,0.0,0.0,0.0,5,4
float,1024,1024,1024, ,-a2av,-p2p,-pencils,-r2c_dir 2,2048 1 1,2048 1 1,2,fftw,-462.734,376.86978554725647,theta-knl,2048,256,64,False,0.0,0.0,0.0,2,4
float,1024,1024,1024, ,-a2av, ,-slabs,-r2c_dir 2,2048 1 1,2048 1 1,4,fftw,-452.535,375.51678133010864,theta-knl,2048,256,64,False,0.0,0.0,1.0,4,4
float,1024,1024,1024, ,-a2av,-p2p, ,-r2c_dir 2,2048 1 1,2048 1 1,2,fftw,-504.739,381.26072001457214,theta-knl,2048,256,64,False,0.0,0.0,0.0,5,4
float,1024,1024,1024,-reorder,-a2av,-p2p, ,-r2c_dir 2,2048 1 1,2048 1 1,4,fftw,-512.063,390.26421093940735,theta-knl,2048,256,64,False,0.0,0.0,1.0,3,4
float,1024,1024,1024, , ,-p2p_pl,-pencils,-r2c_dir 2,2048 1 1,2048 1 1,2,fftw,-325.69,444.17681407928467,theta-knl,2048,256,64,False,0.0,0.0,0.0,2,4
float,1024,1024,1024, , ,-p2p,-pencils,-r2c_dir 2,2048 1 1,2048 1 1,4,fftw,-511.291,398.1012065410614,theta-knl,2048,256,64,False,0.0,0.0,1.0,4,4
float,1024,1024,1024, , ,-p2p, ,-r2c_dir 2,2048 1 1,2048 1 1,2,fftw,-514.162,401.8187937736511,theta-knl,2048,256,64,False,0.0,0.0,0.0,5,4
float,1024,1024,1024, ,-a2av,-p2p,-pencils,-r2c_dir 2,2048 1 1,2048 1 1,4,fftw,-503.421,410.9036588668823,theta-knl,2048,256,64,False,0.0,0.0,1.0,3,4
float,1024,1024,1024,-reorder,-a2av,-p2p, ,-r2c_dir 2,2048 1 1,2048 1 1,2,fftw,-508.305,418.75166726112366,theta-knl,2048,256,64,False,0.0,0.0,0.0,4,4
float,1024,1024,1024, ,-a2av,-p2p,-slabs,-r2c_dir 2,2048 1 1,2048 1 1,2,fftw,-398.874,421.257200717926,theta-knl,2048,256,64,False,0.0,0.0,0.0,5,4
float,1024,1024,1024, , ,-p2p, ,-r2c_dir 2,2048 1 1,2048 1 1,4,fftw,-511.711,431.6995861530304,theta-knl,2048,256,64,False,0.0,0.0,1.0,3,4
float,1024,1024,1024, ,-a2a,-p2p, ,-r2c_dir 2,2048 1 1,2048 1 1,2,fftw,-505.79,439.2513060569763,theta-knl,2048,256,64,False,0.0,0.0,0.0,4,4
float,1024,1024,1024, , ,-p2p,-slabs,-r2c_dir 2,2048 1 1,2048 1 1,2,fftw,-402.008,440.415536403656,theta-knl,2048,256,64,False,0.0,0.0,0.0,5,4
float,1024,1024,1024, ,-a2a, , ,-r2c_dir 2,2048 1 1,2048 1 1,4,fftw,-411.363,451.29486560821533,theta-knl,2048,256,64,False,0.0,0.0,1.0,3,4
