,FLOPS,c0,elapsed_sec,gpu_enabled,libE_id,libE_workers,mpi_ranks,p0,p1x,p1y,p1z,p2,p3,p4,p5,p6,p7,p8,p9,ranks_per_node,threads_per_node
0,-3086.18,cufft,448.6047983169556,True,2,4,64,float,512,512,512,-reorder,-a2a,-p2p_pl, ,-r2c_dir 0,4 2 8,8 8 1,2,4,64
1,-2667.19,cufft,412.0089671611786,True,3,4,64,float,512,512,512,-reorder,-a2a,-p2p_pl, ,-r2c_dir 0,2 2 16,8 8 1,2,4,64
2,-2659.02,cufft,434.62596440315247,True,3,4,64,float,512,512,512,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 0,2 2 16,8 8 1,2,4,64
3,-2629.93,cufft,401.1091389656067,True,5,4,64,float,512,512,512,-reorder, ,-p2p_pl, ,-r2c_dir 0,2 2 16,8 8 1,4,4,64
4,-2623.34,cufft,478.8140432834625,True,5,4,64,float,512,512,512,-reorder,-a2a,-p2p_pl, ,-r2c_dir 0,2 2 16,8 8 1,4,4,64
5,-2621.97,cufft,378.6253161430359,True,2,4,64,float,512,512,512,-reorder,-a2av,-p2p_pl, ,-r2c_dir 0,2 2 16,8 8 1,4,4,64
6,-2614.93,cufft,340.24687027931213,True,2,4,64,float,512,512,512,-reorder,-a2av,-p2p_pl,-pencils, ,2 2 16,8 8 1,2,4,64
7,-2609.38,cufft,444.79929661750793,True,2,4,64,float,512,512,512,-reorder,-a2av,-p2p_pl, ,-r2c_dir 0,2 2 16,8 8 1,8,4,64
8,-2605.57,cufft,386.00482201576233,True,3,4,64,float,512,512,512,-reorder,-a2a,-p2p_pl,-pencils, ,2 2 16,8 8 1,2,4,64
9,-2603.68,cufft,538.9466500282288,True,4,4,64,float,512,512,512,-reorder, ,-p2p_pl,-pencils,-r2c_dir 0,2 2 16,8 8 1,12,4,64
10,-2601.96,cufft,452.3396263122559,True,3,4,64,float,512,512,512,-reorder,-a2av,-p2p_pl, , ,2 2 16,8 8 1,4,4,64
11,-2599.45,cufft,386.0139048099518,True,4,4,64,float,512,512,512,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 0,2 2 16,8 8 1,4,4,64
12,-2597.57,cufft,386.1075060367584,True,2,4,64,float,512,512,512,-reorder,-a2a,-p2p_pl, , ,2 2 16,8 8 1,4,4,64
13,-2595.46,cufft,378.5153920650482,True,4,4,64,float,512,512,512,-reorder, ,-p2p_pl,-pencils, ,2 2 16,8 8 1,16,4,64
14,-2594.74,cufft,444.6918652057648,True,3,4,64,float,512,512,512,-reorder,-a2av,-p2p_pl,-pencils, ,2 2 16,8 8 1,4,4,64
15,-2592.1,cufft,467.6821844577789,True,2,4,64,float,512,512,512,-reorder,-a2a,-p2p_pl, ,-r2c_dir 0,2 2 16,8 8 1,12,4,64
16,-2588.17,cufft,364.82560777664185,True,2,4,64,float,512,512,512,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 0,2 2 16,8 8 1,12,4,64
17,-2578.55,cufft,513.0077228546143,True,2,4,64,float,512,512,512,-reorder,-a2av,-p2p_pl, , ,2 2 16,8 8 1,2,4,64
18,-2546.77,cufft,498.1363890171051,True,5,4,64,float,512,512,512,-reorder,-a2a,-p2p_pl, , ,2 1 32,8 8 1,2,4,64
19,-2523.24,cufft,456.1896662712097,True,2,4,64,float,512,512,512,-reorder,-a2a,-p2p_pl, ,-r2c_dir 0,8 1 8,8 8 1,2,4,64
20,-2493.08,cufft,437.1445164680481,True,3,4,64,float,512,512,512,-reorder, ,-p2p_pl, ,-r2c_dir 0,4 1 16,8 8 1,16,4,64
21,-2489.33,cufft,364.83374977111816,True,3,4,64,float,512,512,512, ,-a2av,-p2p_pl,-pencils, ,2 2 16,8 8 1,2,4,64
22,-2482.75,cufft,393.59123492240906,True,4,4,64,float,512,512,512,-no-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 0,2 2 16,8 8 1,2,4,64
23,-2481.48,cufft,401.1643850803375,True,4,4,64,float,512,512,512,-no-reorder, ,-p2p_pl,-pencils, ,2 2 16,8 8 1,2,4,64
24,-2478.27,cufft,332.4964711666107,True,5,4,64,float,512,512,512, ,-a2av,-p2p_pl,-pencils,-r2c_dir 0,2 2 16,8 8 1,2,4,64
25,-2463.21,cufft,415.7650952339173,True,3,4,64,float,512,512,512, ,-a2a,-p2p_pl, ,-r2c_dir 0,2 2 16,8 8 1,8,4,64
26,-2461.28,cufft,422.1251075267792,True,3,4,64,float,512,512,512, , ,-p2p_pl,-pencils, ,2 2 16,8 8 1,12,4,64
27,-2459.36,cufft,441.080813407898,True,3,4,64,float,512,512,512, ,-a2av,-p2p_pl, ,-r2c_dir 0,2 2 16,8 8 1,2,4,64
28,-2441.98,cufft,434.67082834243774,True,4,4,64,float,512,512,512, ,-a2av,-p2p_pl,-pencils,-r2c_dir 0,2 2 16,8 8 1,12,4,64
29,-2440.37,cufft,393.73946952819824,True,2,4,64,float,512,512,512, , ,-p2p_pl, , ,2 2 16,8 8 1,16,4,64
30,-2439.89,cufft,378.5253660678864,True,3,4,64,float,512,512,512, ,-a2a,-p2p_pl,-pencils, ,2 2 16,8 8 1,8,4,64
31,-2433.99,cufft,304.5774631500244,True,4,4,64,float,512,512,512,-no-reorder,-a2a,-p2p_pl,-pencils, ,2 2 16,8 8 1,16,4,64
32,-2427.71,cufft,409.53210163116455,True,4,4,64,float,512,512,512,-no-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 0,2 2 16,8 8 1,8,4,64
33,-2425.39,cufft,361.0627655982971,True,2,4,64,float,512,512,512, ,-a2av,-p2p_pl,-pencils, ,2 2 16,8 8 1,16,4,64
34,-2423.76,cufft,388.6281528472901,True,2,4,64,float,512,512,512,-no-reorder, ,-p2p_pl,-pencils, ,2 2 16,8 8 1,16,4,64
35,-2420.07,cufft,324.87266278266907,True,4,4,64,float,512,512,512,-reorder,-a2av, ,-pencils, ,2 2 16,8 8 1,2,4,64
36,-2418.45,cufft,428.33602952957153,True,4,4,64,float,512,512,512,-no-reorder,-a2a,-p2p_pl, ,-r2c_dir 0,2 2 16,8 8 1,12,4,64
37,-2412.07,cufft,373.563280582428,True,2,4,64,float,512,512,512,-no-reorder, ,-p2p_pl,-pencils,-r2c_dir 0,2 2 16,8 8 1,4,4,64
38,-2410.39,cufft,304.52760434150696,True,3,4,64,float,512,512,512,-reorder,-a2av, ,-pencils, ,2 2 16,8 8 1,8,4,64
39,-2408.56,cufft,248.76230907440183,True,5,4,64,float,512,512,512,-reorder,-a2av, ,-pencils, ,2 2 16,8 8 1,4,4,64
40,-2406.27,cufft,422.0735239982605,True,4,4,64,float,512,512,512,-no-reorder, ,-p2p_pl, , ,2 2 16,8 8 1,16,4,64
41,-2396.67,cufft,405.7092463970184,True,3,4,64,float,512,512,512,-reorder,-a2av, , ,-r2c_dir 0,2 2 16,8 8 1,8,4,64
42,-2378.46,cufft,265.1764647960663,True,5,4,64,float,512,512,512,-reorder,-a2av, , , ,2 2 16,8 8 1,16,4,64
43,-2335.37,cufft,284.75814867019653,True,4,4,64,float,512,512,512,-reorder,-a2av, , , ,2 2 16,8 8 1,4,4,64
44,-2270.37,cufft,428.3403923511505,True,3,4,64,float,512,512,512, ,-a2av, ,-pencils,-r2c_dir 0,2 2 16,8 8 1,8,4,64
45,-2245.71,cufft,316.90047430992126,True,4,4,64,float,512,512,512,-no-reorder,-a2av, ,-pencils, ,2 2 16,8 8 1,4,4,64
46,-2238.78,cufft,253.3144648075104,True,5,4,64,float,512,512,512, , , ,-pencils, ,2 2 16,8 8 1,12,4,64
47,-2238.28,cufft,287.27557253837585,True,2,4,64,float,512,512,512,-no-reorder,-a2av, ,-pencils,-r2c_dir 0,2 2 16,8 8 1,16,4,64
48,-2237.29,cufft,218.62154459953308,True,4,4,64,float,512,512,512,-reorder,-a2av, ,-pencils, ,2 1 32,8 8 1,12,4,64
49,-2234.07,cufft,353.3178708553314,True,2,4,64,float,512,512,512, , , , , ,2 2 16,8 8 1,4,4,64
