p0,p1x,p1y,p1z,p2,p3,p4,p5,p6,p7,p8,p9,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,p7_float,p8_float,p9_float,libE_id,libE_workers
float,512,512,512,-no-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 0,64 1 1,64 1 1,2,cufft,-387.053,70.0352475643158,polaris-gpu,64,64,4,True,0.0,0.0,0.0,2,4
float,512,512,512,-no-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 0,64 1 1,64 1 1,8,cufft,-429.758,71.34456753730774,polaris-gpu,64,64,4,True,0.0,0.0,0.5,3,4
float,512,512,512,-no-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 0,64 1 1,64 1 1,12,cufft,-448.126,72.61337018013,polaris-gpu,64,64,4,True,0.0,0.0,0.75,4,4
float,512,512,512,-no-reorder,-a2av,-p2p_pl,-slabs,-r2c_dir 0,64 1 1,64 1 1,8,cufft,-445.564,74.05124282836914,polaris-gpu,64,64,4,True,0.0,0.0,0.5,2,4
float,512,512,512,-no-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 0,64 1 1,64 1 1,8,cufft,-431.958,75.42845296859741,polaris-gpu,64,64,4,True,0.0,0.0,0.5,3,4
float,512,512,512,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 0,64 1 1,64 1 1,8,cufft,-493.237,76.58248710632324,polaris-gpu,64,64,4,True,0.0,0.0,0.5,4,4
float,512,512,512,-no-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 0,64 1 1,64 1 1,4,cufft,-446.427,77.94574642181396,polaris-gpu,64,64,4,True,0.0,0.0,0.25,2,4
double,512,512,512,-no-reorder,-a2av,-p2p_pl,-slabs,-r2c_dir 0,64 1 1,64 1 1,8,cufft,-392.461,79.48440885543823,polaris-gpu,64,64,4,True,0.0,0.0,0.5,3,4
float,512,512,512,-no-reorder, ,-p2p_pl,-pencils,-r2c_dir 0,64 1 1,64 1 1,8,cufft,-446.446,80.69619226455688,polaris-gpu,64,64,4,True,0.0,0.0,0.5,4,4
float,512,512,512,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 0,64 1 1,64 1 1,8,cufft,-487.872,81.95582437515259,polaris-gpu,64,64,4,True,0.0,0.0,0.5,2,4
float,512,512,512,-no-reorder,-a2a,-p2p_pl,-slabs,-r2c_dir 0,64 1 1,64 1 1,8,cufft,-431.287,83.40291166305542,polaris-gpu,64,64,4,True,0.0,0.0,0.5,3,4
double,512,512,512,-no-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 0,64 1 1,64 1 1,8,cufft,-317.889,84.89344429969788,polaris-gpu,64,64,4,True,0.0,0.0,0.5,4,4
float,512,512,512,-no-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 0,64 1 1,64 1 1,4,cufft,-446.62,86.0292239189148,polaris-gpu,64,64,4,True,0.0,0.0,0.25,2,4
float,512,512,512,-reorder, ,-p2p_pl,-pencils,-r2c_dir 0,64 1 1,64 1 1,8,cufft,-468.703,87.43417954444885,polaris-gpu,64,64,4,True,0.0,0.0,0.5,3,4
float,512,512,512,-reorder,-a2a,-p2p_pl,-slabs,-r2c_dir 0,64 1 1,64 1 1,8,cufft,-491.751,88.68424081802368,polaris-gpu,64,64,4,True,0.0,0.0,0.5,4,4
float,512,512,512,-no-reorder,-a2a,-p2p_pl,-slabs,-r2c_dir 0,64 1 1,64 1 1,8,cufft,-439.756,90.1790177822113,polaris-gpu,64,64,4,True,0.0,0.0,0.5,2,4
float,512,512,512,-no-reorder,-a2a,-p2p_pl,-slabs,-r2c_dir 0,64 1 1,64 1 1,4,cufft,-430.791,91.4885187149048,polaris-gpu,64,64,4,True,0.0,0.0,0.25,3,4
float,512,512,512,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 0,64 1 1,64 1 1,8,cufft,-489.13,92.79310655593872,polaris-gpu,64,64,4,True,0.0,0.0,0.5,4,4
float,512,512,512,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 0,64 1 1,64 1 1,12,cufft,-493.238,94.23361539840698,polaris-gpu,64,64,4,True,0.0,0.0,0.75,2,4
float,512,512,512,-reorder,-a2av,-p2p_pl,-slabs,-r2c_dir 0,64 1 1,64 1 1,8,cufft,-472.51,95.52762460708618,polaris-gpu,64,64,4,True,0.0,0.0,0.5,3,4
float,512,512,512,-no-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 0,64 1 1,64 1 1,8,cufft,-445.827,96.77787232398988,polaris-gpu,64,64,4,True,0.0,0.0,0.5,4,4
float,512,512,512,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 0,64 1 1,64 1 1,4,cufft,-488.055,98.10410237312315,polaris-gpu,64,64,4,True,0.0,0.0,0.25,2,4
double,512,512,512,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 0,64 1 1,64 1 1,8,cufft,-406.325,99.65095210075378,polaris-gpu,64,64,4,True,0.0,0.0,0.5,3,4
